time,moving,velocity_smooth,grade_smooth,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-2.7,0.0,660.7,0.0,7694819007,1,0
5,False,0.0,-0.8,0.0,660.7,0.0,7694819007,1,0
10,True,0.377,-1.7000000000000002,3.8,660.6,3.6842702788154,7694819007,1,0
12,True,1.7000000000000002,-1.3,11.9,660.6,11.60740470371436,7694819007,1,0
13,False,1.487,-0.9,11.9,660.5,11.60740470371436,7694819007,1,0
14,True,1.6560000000000001,-3.0,14.9,660.5,14.41712618711124,7694819007,1,0
15,False,2.226,-2.0,14.9,660.5,14.41712618711124,7694819007,1,0
16,True,2.465,-1.5,18.6,660.5,18.02065778416668,7694819007,1,0
17,False,1.332,-1.0,18.6,660.4,18.02065778416668,7694819007,1,0
18,True,1.952,-1.5,21.7,660.4,21.036675173576956,7694819007,1,0
19,False,1.3519999999999999,-3.1,21.7,660.4,21.036675173576956,7694819007,1,0
20,True,2.026,-3.1,25.0,660.4,24.118836041109766,7694819007,1,0
23,False,0.674,-1.9,25.0,660.4,24.118836041109766,7694819007,1,0
25,False,0.0,-1.4,25.0,660.4,24.118836041109766,7694819007,1,0
26,False,0.0,-1.4,25.0,660.3,24.118836041109766,7694819007,1,0
28,False,0.0,-1.4,25.0,660.3,24.118836041109766,7694819007,1,0
30,False,0.0,-1.4,25.0,660.3,24.118836041109766,7694819007,1,0
32,True,0.647,-1.0,28.9,660.3,27.964611858332624,7694819007,1,0
33,False,0.776,-1.8,28.9,660.3,27.964611858332624,7694819007,1,0
35,False,0.776,-1.8,28.9,660.3,27.964611858332624,7694819007,1,0
36,False,0.647,-0.9,28.9,660.3,27.964611858332624,7694819007,1,0
37,False,0.0,-0.9,28.9,660.3,27.964611858332624,7694819007,1,0
38,False,0.0,-0.9,28.9,660.3,27.964611858332624,7694819007,1,0
39,False,0.0,-0.9,28.9,660.3,27.964611858332624,7694819007,1,0
41,False,0.0,-0.9,28.9,660.3,27.964611858332624,7694819007,1,0
42,True,0.648,-0.9,32.2,660.3,31.22118817438472,7694819007,1,0
43,True,1.413,-1.4,36.0,660.2,34.93680437292322,7694819007,1,0
45,True,1.816,-9.1,39.8,660.2,38.25953925690262,7694819007,1,0
46,True,2.944,-7.6,43.6,660.1,41.59831104011305,7694819007,1,0
47,True,2.944,-7.4,84.7,655.5,77.74331602180084,7694819007,1,0
49,True,2.944,-7.5,125.8,653.4,113.87015026384469,7694819007,1,0
50,True,2.944,-6.2,166.9,650.8,150.39148812179002,7694819007,1,0
52,True,2.944,-6.9,189.1,649.2,169.97281477710055,7694819007,1,0
54,True,14.269,-7.5,197.1,648.5,177.00290999073763,7694819007,1,0
55,True,6.806,-8.0,200.9,648.2,180.33376901338198,7694819007,1,0
56,True,6.862,-7.8,208.0,647.7,186.56580470812605,7694819007,1,0
58,True,5.813,-8.8,224.0,646.4,200.5547244697669,7694819007,1,0
59,True,6.7,-9.6,230.6,645.9,206.32654085930315,7694819007,1,0
61,True,9.723,-10.3,256.6,643.3,229.07063738158053,7694819007,1,0
