,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,time,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-30.7,4.6,54.1,124,0,4.6,8637326864,1,0
1,True,0.387,-27.6,5.0,54.1,123,1,5.163882831840341,8637326864,1,0
2,True,0.387,-25.1,5.4,54.1,123,2,5.683190819419997,8637326864,1,0
3,True,0.387,-23.0,5.8,53.0,123,3,6.174813486359069,8637326864,1,0
4,True,0.387,-21.2,6.1,53.0,123,4,6.52162424493471,8637326864,1,0
5,True,0.387,-19.7,6.5,53.0,122,5,6.959315291424119,8637326864,1,0
6,True,0.387,-18.4,6.9,53.0,121,6,7.379093113484079,8637326864,1,0
7,True,0.387,-12.4,7.3,53.0,121,7,7.739281762210933,8637326864,1,0
8,True,0.387,-9.6,7.7,53.0,121,8,8.089128908210567,8637326864,1,0
9,True,0.387,-10.0,8.1,53.0,121,9,8.439017386477664,8637326864,1,0
10,True,0.387,0.0,8.5,53.0,121,10,8.839017386477664,8637326864,1,0
11,True,0.387,0.0,8.9,53.0,120,11,9.239017386477665,8637326864,1,0
12,True,0.387,0.0,9.2,53.0,120,12,9.539017386477664,8637326864,1,0
13,True,0.387,0.0,9.6,53.0,119,13,9.939017386477664,8637326864,1,0
14,True,0.387,-7.0,10.0,53.0,118,14,10.291837939929216,8637326864,1,0
15,True,0.387,-7.2,10.4,53.0,117,15,10.644081675131947,8637326864,1,0
16,True,0.876,-7.7,13.2,53.0,117,16,13.10435040544732,8637326864,1,0
17,True,1.2850000000000001,-8.2,15.7,53.0,117,17,15.294720749286352,8637326864,1,0
18,True,1.695,-11.1,18.1,53.0,117,18,17.405693519716085,8637326864,1,0
19,True,2.297,-11.1,21.5,52.1,117,19,20.396238277824867,8637326864,1,0
20,False,2.22,-11.1,21.5,52.1,117,20,20.396238277824867,8637326864,1,0
21,False,1.653,-11.1,21.5,52.1,116,21,20.396238277824867,8637326864,1,0
22,False,1.167,-11.1,21.5,52.1,116,22,20.396238277824867,8637326864,1,0
23,False,0.68,0.0,21.5,52.1,116,23,20.396238277824867,8637326864,1,0
24,False,0.0,0.0,21.5,52.1,115,24,20.396238277824867,8637326864,1,0
25,False,0.0,0.0,21.5,52.1,115,25,20.396238277824867,8637326864,1,0
26,False,0.0,7.6,21.5,52.1,115,26,20.396238277824867,8637326864,1,0
27,False,0.0,7.6,21.5,52.1,115,27,20.396238277824867,8637326864,1,0
28,False,0.0,7.6,21.5,52.1,115,28,20.396238277824867,8637326864,1,0
29,False,0.0,7.6,21.5,52.1,116,29,20.396238277824867,8637326864,1,0
30,False,0.02,7.6,21.6,52.1,116,30,20.52704991969542,8637326864,1,0
31,False,0.06,7.6,21.8,53.0,116,31,20.78867320343652,8637326864,1,0
