time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
770,True,4.837,-1.7000000000000002,517.0,159.2,105,520.0362025811567,8702135983,1,1
774,True,5.327,-1.8,540.9,159.0,106,543.1179716804562,8702135983,1,1
775,True,6.18,-0.9,547.9,159.0,107,550.0357630501633,8702135983,1,1
777,True,6.071,-0.6000000000000001,559.5,158.8,106,561.5682668171421,8702135983,1,1
778,True,5.875,-1.2,564.0,158.8,107,565.9829056835839,8702135983,1,1
780,True,5.58,-0.5,575.8,158.8,110,577.7266312137542,8702135983,1,1
781,True,5.55,0.0,581.2,158.6,111,583.1266312137543,8702135983,1,1
784,True,5.65,0.5,597.9,158.6,111,599.9264764084372,8702135983,1,1
787,True,5.483,1.4,614.1,158.8,111,616.6237711346979,8702135983,1,1
788,True,5.443,2.5,619.3,159.0,111,622.2105037507891,8702135983,1,1
789,True,5.36,2.8,624.7,159.2,111,628.0897703414862,8702135983,1,1
790,True,5.35,2.8,630.0,159.4,111,633.8573813317092,8702135983,1,1
791,True,5.329,1.9,635.2,159.4,110,639.3216244652008,8702135983,1,1
792,True,5.28,1.0,640.5,159.6,110,644.7258733616438,8702135983,1,1
793,True,5.26,0.0,645.6,159.6,110,649.8258733616439,8702135983,1,1
794,True,5.02,0.0,649.8,159.6,110,654.0258733616438,8702135983,1,1
795,True,5.04,1.1,655.2,159.4,110,659.5535011955855,8702135983,1,1
799,True,5.22,1.1,675.9,159.6,111,680.717436161745,8702135983,1,1
800,True,5.08,2.3,680.6,160.0,111,685.7231125563275,8702135983,1,1
801,True,5.15,3.2,686.1,160.0,112,691.7788594793278,8702135983,1,1
802,True,5.043,1.1,690.5,160.2,112,696.2747339260262,8702135983,1,1
803,True,4.962,2.4,694.9,160.2,113,700.9896131670363,8702135983,1,1
804,True,4.64,1.2,699.1,160.2,113,705.2975681783813,8702135983,1,1
805,True,4.4,1.2,702.6,160.4,114,708.8823737474808,8702135983,1,1
806,True,4.18,1.2,707.0,160.4,114,713.38898646292,8702135983,1,1
807,True,4.32,1.1,712.1,160.4,114,718.6028281430235,8702135983,1,1
808,True,4.28,2.3,716.3,160.4,114,723.0839418670944,8702135983,1,1
809,True,4.34,2.5,720.8,160.6,114,727.914324028352,8702135983,1,1
810,True,4.34,3.8,724.3,160.8,114,731.8544557575707,8702135983,1,1
811,True,4.26,3.7,728.3,160.8,114,736.3415127314829,8702135983,1,1
812,True,4.02,2.4,732.2,161.0,114,740.5113648048988,8702135983,1,1
813,True,4.16,3.0,737.1,161.2,115,745.8705342518613,8702135983,1,1
814,True,4.08,1.9,741.2,161.2,115,750.1759702619767,8702135983,1,1
816,True,4.04,2.1,748.5,161.4,116,757.8861651470808,8702135983,1,1
817,True,4.22,2.0,753.3,161.4,116,762.9462532367374,8702135983,1,1
818,True,3.9,2.6,756.6,161.6,116,766.5014813785466,8702135983,1,1
819,True,4.0,2.8,761.2,161.6,117,771.4942223988296,8702135983,1,1
820,True,3.817,3.8,764.1,161.8,118,774.7649060825476,8702135983,1,1
821,True,3.86,4.3,767.8,161.8,118,779.01423282233,8702135983,1,1
822,True,3.8,3.2,772.3,162.2,119,783.9778508820891,8702135983,1,1
824,True,3.7199999999999998,4.3,779.8,162.4,120,792.5839227138773,8702135983,1,1
825,True,3.74,2.2,782.8,162.4,120,795.7751121377327,8702135983,1,1
826,True,3.74,2.8,786.5,162.6,120,799.8025257314388,8702135983,1,1
827,True,3.58,4.2,790.2,162.6,120,804.03043725401,8702135983,1,1
828,True,3.6,5.7,793.9,162.8,120,808.515239444398,8702135983,1,1
829,True,3.48,7.2,797.2,163.0,119,812.7744438536778,8702135983,1,1
830,True,3.56,7.4,800.6,163.4,119,817.2040742712825,8702135983,1,1
831,True,3.52,7.0,804.1,163.6,119,821.6818757162793,8702135983,1,1
832,True,3.44,5.6,807.4,163.8,119,825.6694648092927,8702135983,1,1
833,True,3.52,7.0,811.5,164.0,119,830.914889359146,8702135983,1,1
834,True,3.54,7.2,814.9,164.2,120,835.3132755924132,8702135983,1,1
835,True,3.56,9.2,818.4,164.6,119,840.2373685045854,8702135983,1,1
836,True,3.42,9.6,821.2,164.8,119,844.2548261750596,8702135983,1,1
837,True,3.44,7.9,824.6,165.2,119,848.7871160554873,8702135983,1,1
838,True,3.18,9.3,827.4,165.4,119,852.7516434022588,8702135983,1,1
839,True,3.22,7.8,831.0,165.6,119,857.5250624163126,8702135983,1,1
840,True,3.14,7.9,834.1,166.0,119,861.6574443661144,8702135983,1,1
841,True,3.24,9.8,837.4,166.2,119,866.4417762959534,8702135983,1,1
842,True,3.08,9.4,840.0,166.4,119,870.1351225286722,8702135983,1,1
843,True,3.16,9.4,843.2,166.8,118,874.6957805108672,8702135983,1,1
844,True,3.18,9.2,846.9,167.2,117,879.9012501608778,8702135983,1,1
845,True,3.2,8.1,850.1,167.4,117,884.1903107229858,8702135983,1,1
846,True,3.14,8.4,853.1,167.6,116,888.2693152165646,8702135983,1,1
847,True,3.12,9.4,855.6,167.8,116,891.8206096711018,8702135983,1,1
848,True,3.12,10.9,858.8,168.2,116,896.681668526549,8702135983,1,1
849,True,3.2,10.6,862.9,168.6,116,902.8369663729626,8702135983,1,1
850,True,3.18,9.7,866.0,169.0,117,907.3001070343752,8702135983,1,1
851,True,3.14,8.8,868.8,169.2,117,911.1703232232336,8702135983,1,1
852,True,3.12,8.3,871.2,169.4,117,914.4239357956184,8702135983,1,1
853,True,3.1,9.8,874.3,169.6,117,918.9025653774305,8702135983,1,1
854,True,3.02,9.1,878.0,170.0,118,924.0917292035368,8702135983,1,1
855,True,3.02,10.9,881.1,170.4,119,928.8008799697513,8702135983,1,1
856,True,3.12,9.7,884.4,170.6,121,933.5519651899646,8702135983,1,1
857,True,3.2,9.5,887.2,171.0,119,937.5558752180625,8702135983,1,1
858,True,3.22,9.2,890.4,171.2,120,942.0722223166523,8702135983,1,1
859,True,3.14,9.0,893.7,171.6,120,946.6719605751364,8702135983,1,1
860,True,3.26,9.4,897.4,171.8,122,951.9278763678515,8702135983,1,1
861,True,3.24,7.9,900.6,172.2,121,956.1821490709324,8702135983,1,1
862,True,3.2,9.4,903.2,172.4,121,959.8876836814657,8702135983,1,1
863,True,3.2,10.1,906.4,172.6,122,964.5774265906889,8702135983,1,1
864,True,3.2800000000000002,12.4,910.1,173.0,122,970.61420027258,8702135983,1,1
865,True,3.02,14.2,912.5,173.4,122,974.8762521541207,8702135983,1,1
866,True,3.1,16.1,916.1,174.0,123,981.8597562242115,8702135983,1,1
867,True,3.18,15.7,919.1,174.4,123,987.5686344549697,8702135983,1,1
868,True,2.98,12.4,921.3,174.8,124,991.1556069190224,8702135983,1,1
869,True,2.7800000000000002,10.8,924.0,175.2,124,995.2489658623668,8702135983,1,1
870,True,2.98,10.3,927.4,175.4,125,1000.2690365011534,8702135983,1,1
871,True,2.8200000000000003,10.9,930.2,175.6,125,1004.5338477898557,8702135983,1,1
872,True,2.7800000000000002,11.4,933.0,176.0,125,1008.9035617881275,8702135983,1,1
873,True,2.74,13.2,935.0,176.4,125,1012.2978339080706,8702135983,1,1
874,True,2.7800000000000002,10.4,937.9,176.6,125,1016.615758410301,8702135983,1,1
875,True,2.68,9.7,940.8,177.0,125,1020.7909545129127,8702135983,1,1
876,True,2.86,8.5,944.5,177.2,125,1025.8367634941892,8702135983,1,1
877,True,2.88,6.6,947.4,177.6,125,1029.4904096444332,8702135983,1,1
878,True,2.94,4.9,949.7,177.6,126,1032.191810611589,8702135983,1,1
879,True,3.0,1.6,952.9,177.8,126,1035.5089209839014,8702135983,1,1
880,True,3.2,1.4,956.8,177.8,126,1039.529755849138,8702135983,1,1
881,True,3.16,0.0,960.3,177.8,127,1043.029755849138,8702135983,1,1
882,True,3.34,0.0,964.1,177.8,128,1046.829755849138,8702135983,1,1
883,True,3.52,0.0,967.3,177.8,128,1050.029755849138,8702135983,1,1
884,True,3.66,0.0,971.2,177.8,128,1053.929755849138,8702135983,1,1
885,True,3.64,0.0,975.0,177.8,129,1057.729755849138,8702135983,1,1
886,True,3.74,1.4,979.0,177.8,129,1061.8525446704368,8702135983,1,1
887,True,3.66,1.5,982.4,177.8,130,1065.3678097984248,8702135983,1,1
888,True,3.68,3.1,985.7,178.0,130,1069.000188236418,8702135983,1,1
889,True,3.46,6.5,988.5,178.0,130,1072.504957025394,8702135983,1,1
890,True,3.34,7.7,991.7,178.2,131,1076.7260474629416,8702135983,1,1
