time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
131,True,3.03,3.5,326.1,115.8,109,359.0790154498992,10041731174,1,0
133,True,3.063,3.7,332.0,115.8,111,365.69551589365636,10041731174,1,0
138,True,2.9859999999999998,3.0,347.0,116.4,114,382.1363386822699,10041731174,1,0
141,True,3.063,3.6,356.5,116.8,114,392.7499094858036,10041731174,1,0
142,True,3.011,3.4,359.1,116.8,114,395.6347561041255,10041731174,1,0
144,True,3.1,4.0,365.6,117.0,117,403.0066319929656,10041731174,1,0
146,True,2.84,4.9,370.7,117.2,116,408.99669500709376,10041731174,1,0
150,True,2.683,5.3,381.7,117.8,115,422.1530051803918,10041731174,1,0
151,True,2.6,5.0,383.7,118.0,114,424.5135705914111,10041731174,1,0
153,True,2.4859999999999998,4.0,388.1,118.2,114,429.5158905221093,10041731174,1,0
156,True,2.2,3.5,394.7,118.4,114,436.86392180225533,10041731174,1,0
160,True,2.629,4.6,406.5,118.8,116,450.5637514337889,10041731174,1,0
163,True,2.543,5.1,412.5,119.0,117,457.66137007455086,10041731174,1,0
169,True,2.311,4.5,427.3,120.0,118,474.7673200868508,10041731174,1,0
170,True,2.543,4.8,430.3,120.2,118,478.2773618058654,10041731174,1,0
178,True,3.156,3.7,455.7,121.0,118,506.8138683527166,10041731174,1,0
179,True,3.133,3.4,458.5,121.2,117,509.92778061330915,10041731174,1,0
183,True,2.92,4.3,470.3,121.6,116,523.4718821212459,10041731174,1,0
185,True,3.05,3.9,476.8,121.8,117,530.8330872904446,10041731174,1,0
187,True,3.15,4.1,483.7,122.2,118,538.6950612848144,10041731174,1,0
194,True,3.056,4.2,504.3,123.0,118,562.2624592475166,10041731174,1,0
197,True,3.06,3.8,514.3,123.4,118,573.5323357305556,10041731174,1,0
202,True,3.113,3.4,529.2,124.0,117,590.073060814747,10041731174,1,0
205,True,2.75,2.2,536.3,124.2,117,597.6273786112492,10041731174,1,0
206,True,2.822,1.5,539.7,124.2,116,601.1393893650817,10041731174,1,0
210,True,2.74,2.4,550.0,124.2,115,612.1702783650139,10041731174,1,0
212,True,2.833,2.9,556.7,124.4,115,619.4886074256692,10041731174,1,0
220,True,2.7800000000000002,4.2,577.8,125.2,116,643.6714712259022,10041731174,1,0
221,True,2.656,4.3,580.6,125.4,118,646.8849569820313,10041731174,1,0
227,True,2.757,4.6,597.1,126.2,118,666.0379239867027,10041731174,1,0
229,True,2.85,4.0,603.4,126.4,118,673.2015409220286,10041731174,1,0
235,True,3.037,3.9,621.4,127.2,117,693.579779947511,10041731174,1,0
240,True,2.882,4.3,635.1,127.6,119,709.33209422915,10041731174,1,0
243,True,2.7,4.3,643.0,128.0,120,718.3928456707398,10041731174,1,0
249,True,2.633,4.3,658.8,128.8,121,736.5323395727515,10041731174,1,0
251,True,2.575,4.1,663.6,129.0,121,742.0073437709952,10041731174,1,0
258,True,2.544,3.6,681.7,129.6,121,762.2679376737084,10041731174,1,0
260,True,2.567,3.9,686.7,129.8,121,767.9238557145552,10041731174,1,0
262,True,2.573,5.3,691.9,130.0,117,774.1432023419324,10041731174,1,0
265,True,2.56,5.7,699.5,130.4,117,783.3777170691586,10041731174,1,0
267,True,2.46,6.6,704.2,130.8,116,789.286126378033,10041731174,1,0
271,True,2.517,5.9,714.6,131.4,116,802.0115244726383,10041731174,1,0
274,True,2.6,4.8,722.4,132.0,118,811.1511432176126,10041731174,1,0
277,True,2.567,4.9,730.0,132.2,121,820.08705498748,10041731174,1,0
284,True,2.33,4.4,745.7,132.8,122,838.15759830259,10041731174,1,0
286,True,2.367,5.2,751.3,133.2,122,844.8187121547408,10041731174,1,0
289,True,2.68,5.4,759.1,133.6,123,854.1810378146109,10041731174,1,0
293,True,2.457,5.3,768.5,134.2,122,865.4300347488149,10041731174,1,0
296,True,2.3,4.7,775.2,134.4,123,873.2507087681214,10041731174,1,0
302,True,2.2439999999999998,4.3,788.7,135.2,124,888.7821869838829,10041731174,1,0
305,True,2.444,5.3,797.2,135.4,125,898.9525132795102,10041731174,1,0
313,True,2.345,5.2,814.5,136.2,123,919.5558058630127,10041731174,1,0
319,True,2.171,5.1,827.6,137.2,124,935.0905956640165,10041731174,1,0
320,True,2.329,5.2,830.8,137.4,125,938.9034900177911,10041731174,1,0
327,True,2.55,4.2,848.0,138.0,124,958.613676229926,10041731174,1,0
331,True,2.336,4.8,856.5,138.4,122,968.5709302873669,10041731174,1,0
333,True,2.1,6.3,860.6,138.6,121,973.6814552729709,10041731174,1,0
337,True,1.9500000000000002,7.0,868.2,139.2,119,983.3938707432591,10041731174,1,0
339,True,2.1,5.7,873.2,139.6,120,989.4601409184744,10041731174,1,0
340,True,2.286,3.7,876.6,139.8,120,993.2832656938224,10041731174,1,0
348,True,2.5,2.9,895.7,140.6,121,1014.0885643473242,10041731174,1,0
353,True,2.231,3.6,905.6,140.6,124,1025.1408401017482,10041731174,1,0
354,True,2.083,3.3,908.2,140.6,125,1028.0142854203957,10041731174,1,0
364,True,1.9729999999999999,4.7,927.3,141.6,126,1050.2527400587894,10041731174,1,0
369,True,2.027,5.0,938.6,142.0,126,1063.6106234752708,10041731174,1,0
374,True,2.12,4.5,948.5,142.6,125,1075.050022455783,10041731174,1,0
380,True,1.927,5.1,959.8,143.2,124,1088.4429473021532,10041731174,1,0
386,True,1.967,5.7,972.1,143.6,123,1103.3412914374178,10041731174,1,0
390,True,2.19,4.8,981.7,144.2,124,1114.5847996081159,10041731174,1,0
393,True,2.186,5.3,987.4,144.8,125,1121.390763597167,10041731174,1,0
399,True,2.189,5.3,1001.4,145.2,125,1138.1002376679146,10041731174,1,0
403,True,2.25,4.3,1009.9,145.6,128,1147.859789919943,10041731174,1,0
404,True,2.12,4.4,1012.0,145.8,125,1150.2812132667568,10041731174,1,0
