time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,0.0,0,3.0,194.0,117,3.0,8852515628,0,0
1,True,0.0,0.0,0,6.8,194.0,117,6.8,8852515628,0,0
2,True,3.875,0.0,12,10.7,194.0,116,10.7,8852515628,0,0
3,True,4.013,0.0,44,15.0,194.0,115,15.0,8852515628,0,0
4,True,4.24,0.0,47,19.9,194.0,114,19.9,8852515628,0,0
5,True,4.388,0.0,51,24.9,194.0,113,24.9,8852515628,0,0
6,True,4.682,0.0,51,30.2,194.0,112,30.2,8852515628,0,0
7,True,4.966,0.0,50,35.5,194.0,111,35.5,8852515628,0,0
8,True,5.218,0.0,54,41.1,194.0,111,41.1,8852515628,0,0
9,True,5.326,0.9,54,46.5,194.0,111,46.59100105251747,8852515628,0,0
10,True,5.392,0.9,54,51.9,194.0,111,52.08258942898826,8852515628,0,0
11,True,5.454,1.8,56,57.5,194.2,112,57.94083787444009,8852515628,0,0
12,True,5.494,1.8,57,63.0,194.2,112,63.69104434540447,8852515628,0,0
13,True,5.538,1.7000000000000002,55,68.8,194.4,113,69.74272833578976,8852515628,0,0
14,True,5.572,1.7000000000000002,61,74.4,194.4,114,75.58411256808701,8852515628,0,0
15,True,5.766,0.9,57,80.7,194.6,115,81.98190794547641,8852515628,0,0
16,True,5.756,0.8,58,86.3,194.6,116,87.66567535664859,8852515628,0,0
17,True,5.824,0.0,57,92.1,194.6,117,93.46567535664859,8852515628,0,0
18,True,5.906,0.0,61,98.3,194.6,117,99.66567535664859,8852515628,0,0
19,True,5.982,-0.8,62,104.3,194.6,118,105.59835911403825,8852515628,0,0
20,True,5.906,-1.7000000000000002,62,110.2,194.6,118,111.31748244332462,8852515628,0,0
21,True,6.006,-1.7000000000000002,35,116.3,194.4,118,117.22415799603094,8852515628,0,0
22,True,5.978,-1.8,35,122.0,194.2,118,122.73608322134743,8852515628,0,0
23,True,5.834,-0.9,35,127.5,194.2,118,128.16271456881586,8852515628,0,0
24,True,5.686,0.0,19,132.8,194.2,118,133.46271456881587,8852515628,0,0
25,True,5.534,1.0,19,137.9,194.2,119,138.66459960852825,8852515628,0,0
26,True,5.26,2.2,19,142.6,194.2,119,143.65005634645428,8852515628,0,0
27,True,5.008,3.5,19,147.1,194.4,119,148.66291993096505,8852515628,0,0
28,True,4.764,5.0,19,151.3,194.6,119,153.62010729410562,8852515628,0,0
29,True,4.464,5.4,0,155.1,194.8,119,158.1779512816032,8852515628,0,0
30,True,4.144,4.5,0,158.6,195.0,119,162.2241917308977,8852515628,0,0
31,True,3.856,4.6,0,161.9,195.2,119,166.06474778532746,8852515628,0,0
32,True,3.5300000000000002,3.5,0,164.7,195.2,119,169.18275566005855,8852515628,0,0
33,True,3.34,1.7000000000000002,0,168.0,195.4,118,172.62595517182953,8852515628,0,0
34,True,2.996,3.7,0,170.1,195.4,118,174.98371484558737,8852515628,0,0
35,True,2.646,2.3,0,171.8,195.4,117,176.79844313679124,8852515628,0,0
36,True,2.318,2.0,0,173.5,195.4,117,178.58924081829076,8852515628,0,0
37,True,2.154,2.3,0,175.5,195.6,116,180.71984788523125,8852515628,0,0
38,True,1.73,2.3,0,176.6,195.6,115,181.8916817720485,8852515628,0,0
39,True,1.496,1.8,0,177.5,195.6,115,182.83234770611563,8852515628,0,0
40,True,1.256,1.6,0,178.1,195.6,115,183.45547034963022,8852515628,0,0
41,True,1.082,0.0,0,178.9,195.6,115,184.25547034963023,8852515628,0,0
42,False,0.678,0.0,0,178.9,195.6,115,184.25547034963023,8852515628,0,0
52,False,0.0,0.0,0,178.9,195.6,119,184.25547034963023,8852515628,0,0
53,True,0.233,0.0,0,181.4,195.6,120,186.75547034963023,8852515628,0,0
54,True,0.455,0.0,0,184.3,195.6,120,189.65547034963024,8852515628,0,0
55,True,0.645,-1.3,0,187.3,195.6,121,192.59104811911754,8852515628,0,0
56,True,0.876,-1.1,13,191.1,195.6,121,196.3291310947306,8852515628,0,0
57,True,0.876,-1.9,13,196.5,195.4,120,201.53434946354295,8852515628,0,0
58,True,4.316,-2.5,13,203.0,195.4,119,207.6896257518422,8852515628,0,0
59,True,4.854,-2.4,13,208.6,195.2,118,213.00854032568108,8852515628,0,0
60,True,5.524,-3.2,15,214.9,195.0,116,218.88541848602438,8852515628,0,0
61,True,6.054,-3.1,36,221.4,194.8,114,224.95634140692243,8852515628,0,0
62,True,6.32,-3.2,36,228.1,194.6,113,231.20792060959323,8852515628,0,0
63,True,6.238,-2.5,36,234.2,194.4,112,236.99248132282526,8852515628,0,0
64,True,6.29,-2.6,36,240.1,194.2,112,242.56638264922256,8852515628,0,0
65,True,6.166,-2.8,36,245.7,194.2,111,247.83271472587438,8852515628,0,0
66,True,5.948,-3.0,36,251.1,194.0,111,252.89168800510416,8852515628,0,0
67,True,5.532,-4.5,36,255.8,193.8,111,257.1712616728934,8852515628,0,0
68,True,5.214,-3.6,36,260.3,193.6,112,261.3370852453959,8852515628,0,0
69,True,4.688,-2.2,0,263.5,193.4,112,264.39176172832964,8852515628,0,0
70,True,4.428,-3.1,0,267.9,193.4,113,268.4999792545534,8852515628,0,0
71,True,4.52,-2.6,6,273.8,193.4,114,274.07388058095074,8852515628,0,0
72,True,4.718,-2.4,60,279.4,193.0,115,279.3968924922328,8852515628,0,0
73,True,5.236,-3.1,60,286.5,192.8,116,286.03759769423147,8852515628,0,0
74,True,5.922,-2.2,62,293.1,192.8,117,292.33366471659076,8852515628,0,0
