time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-1.6,0.0,146.9,95,0.0,7559242679,1,1
13,True,1.162,-1.3,15.1,146.7,95,14.776636392852346,7559242679,1,1
15,True,1.2469999999999999,-1.5,18.7,146.6,95,18.287411112178678,7559242679,1,1
18,True,1.52,-1.3,22.7,146.6,99,22.206930223476274,7559242679,1,1
23,True,1.038,-0.6000000000000001,27.0,146.5,98,26.48351494949905,7559242679,1,1
26,True,1.038,-1.2,31.0,146.5,96,30.41075969074269,7559242679,1,1
30,True,1.3860000000000001,-0.6000000000000001,36.7,146.5,96,36.07175539862333,7559242679,1,1
32,True,1.483,-1.2,39.9,146.4,94,39.20986376149015,7559242679,1,1
36,True,1.067,-1.4,43.1,146.4,93,42.33503996692192,7559242679,1,1
39,True,1.071,-1.2,47.4,146.3,93,46.549888008200384,7559242679,1,1
41,True,1.54,-1.3,50.8,146.3,90,49.881479252803324,7559242679,1,1
43,True,1.843,-0.6000000000000001,56.0,146.2,90,55.04368989658505,7559242679,1,1
44,True,2.32,-0.6000000000000001,59.0,146.2,93,58.02388785004475,7559242679,1,1
45,True,2.6,-0.6000000000000001,63.0,146.2,93,61.99551092639172,7559242679,1,1
46,True,3.2800000000000002,-0.6000000000000001,67.2,146.2,93,66.17092521582656,7559242679,1,1
47,True,3.5,0.0,71.8,146.1,93,70.77092521582655,7559242679,1,1
48,True,4.08,0.0,76.4,146.1,93,75.37092521582656,7559242679,1,1
49,True,4.36,0.6000000000000001,80.8,146.2,105,79.80396298702004,7559242679,1,1
50,True,4.4,0.5,85.0,146.2,105,84.03418448340308,7559242679,1,1
51,True,4.54,0.0,89.9,146.2,105,88.93418448340309,7559242679,1,1
52,True,4.62,0.0,94.9,146.2,105,93.93418448340309,7559242679,1,1
53,True,4.78,0.0,100.3,146.2,105,99.33418448340308,7559242679,1,1
54,True,4.88,0.0,105.2,146.2,106,104.23418448340308,7559242679,1,1
55,True,5.08,0.0,110.4,146.2,106,109.43418448340309,7559242679,1,1
56,True,5.2,0.4,115.9,146.2,106,114.96611343286298,7559242679,1,1
57,True,5.4,0.4,121.9,146.2,106,120.99974392508406,7559242679,1,1
58,True,5.46,0.4,127.6,146.3,106,126.73075714887287,7559242679,1,1
59,True,5.68,0.9,133.6,146.3,121,132.82625266325678,7559242679,1,1
60,True,5.88,0.4,139.8,146.3,121,139.0622452971934,7559242679,1,1
61,True,5.78,0.9,144.8,146.4,121,144.14490333935447,7559242679,1,1
62,True,5.62,2.4,150.0,146.4,121,149.71265140018033,7559242679,1,1
63,True,5.66,1.8,155.9,146.5,121,155.89229597772254,7559242679,1,1
64,True,5.4,2.4,160.6,146.8,121,160.92921555251107,7559242679,1,1
65,True,5.38,2.8,166.7,146.8,121,167.55798805570964,7559242679,1,1
66,True,5.16,1.4,170.6,146.9,130,171.58464255577243,7559242679,1,1
68,True,4.3,1.8,177.4,147.1,130,178.70124435582042,7559242679,1,1
69,True,5.5600000000000005,1.7000000000000002,188.4,147.2,130,190.1709798480145,7559242679,1,1
70,True,5.54,1.5,194.4,147.3,130,196.36959722560675,7559242679,1,1
71,True,5.86,1.8,199.9,147.4,132,202.13208545519026,7559242679,1,1
72,True,5.7,1.9,204.8,147.5,132,207.27419458888966,7559242679,1,1
73,True,6.5600000000000005,1.9,210.2,147.6,132,212.93915503720083,7559242679,1,1
74,True,5.46,2.2,215.7,147.7,132,218.7846135617922,7559242679,1,1
75,True,5.38,2.2,221.3,147.8,137,224.7363531504671,7559242679,1,1
76,True,5.5,2.3,227.4,148.0,137,231.23732015500642,7559242679,1,1
77,True,5.6,2.3,232.8,148.1,137,236.98766487211657,7559242679,1,1
78,True,5.48,2.0,237.6,148.2,137,242.0385935786587,7559242679,1,1
79,True,5.54,2.5,243.4,148.3,139,248.26006889195673,7559242679,1,1
80,True,5.32,2.9,247.9,148.4,139,253.16912830271576,7559242679,1,1
81,True,5.16,2.5,253.2,148.6,139,258.8622799398727,7559242679,1,1
82,True,5.1,2.0,258.3,148.8,139,264.238623535133,7559242679,1,1
83,True,5.18,1.4,263.5,148.8,140,269.6017527118119,7559242679,1,1
84,True,4.9,0.4,267.9,148.8,140,274.02695829658376,7559242679,1,1
85,True,5.34,0.4,274.6,148.9,140,280.7656806944419,7559242679,1,1
86,True,5.5600000000000005,0.4,281.0,148.9,140,287.2021825620222,7559242679,1,1
87,True,5.54,0.0,286.0,148.9,140,292.2021825620222,7559242679,1,1
88,True,5.44,0.5,290.7,148.9,140,296.93336512045573,7559242679,1,1
89,True,5.5600000000000005,0.5,295.7,148.9,144,301.9653941606663,7559242679,1,1
90,True,5.2,0.5,300.6,149.0,144,306.89588151597485,7559242679,1,1
91,True,5.06,0.5,306.3,149.0,144,312.63117751828685,7559242679,1,1
92,True,5.12,0.0,311.6,149.0,144,317.93117751828686,7559242679,1,1
93,True,5.2,0.0,316.7,149.0,144,323.0311775182868,7559242679,1,1
94,True,4.96,0.0,320.5,149.0,144,326.83117751828684,7559242679,1,1
95,True,5.22,0.0,326.7,149.0,144,333.0311775182868,7559242679,1,1
96,True,5.24,0.0,332.5,149.0,148,338.83117751828684,7559242679,1,1
97,True,5.18,0.0,337.5,149.0,148,343.83117751828684,7559242679,1,1
98,True,5.32,0.0,343.3,149.0,148,349.63117751828685,7559242679,1,1
99,True,5.68,0.0,348.9,149.0,148,355.2311775182868,7559242679,1,1
100,True,5.4,0.0,353.7,149.0,148,360.0311775182868,7559242679,1,1
101,True,5.34,0.0,359.2,149.0,148,365.5311775182868,7559242679,1,1
102,True,5.64,-0.4,365.7,149.0,149,372.0055234642441,7559242679,1,1
103,True,5.66,-0.9,371.6,149.0,149,377.8353146452041,7559242679,1,1
104,True,5.6,-1.3,376.9,148.9,149,383.02607292467826,7559242679,1,1
105,True,5.76,-1.7000000000000002,382.5,148.8,149,388.45094393181984,7559242679,1,1
106,True,5.98,-1.6,389.1,148.7,149,394.86388935003254,7559242679,1,1
107,True,5.86,-1.9,395.0,148.6,149,400.5447279199541,7559242679,1,1
108,True,6.04,-1.9,401.8,148.5,149,407.09355049042995,7559242679,1,1
109,True,6.34,-1.8,408.6,148.3,149,413.6572581457557,7559242679,1,1
110,True,6.5600000000000005,-1.8,415.3,148.2,149,420.1355892597053,7559242679,1,1
111,True,6.64,-1.7000000000000002,422.3,148.1,149,426.91609474414895,7559242679,1,1
112,True,7.0,-2.1,430.0,148.0,149,434.29368720162415,7559242679,1,1
113,True,7.2,-2.0,437.8,147.8,149,441.78225159240276,7559242679,1,1
114,True,7.1,-2.5,444.1,147.6,149,447.7500706977696,7559242679,1,1
115,True,7.36,-2.1,452.1,147.5,149,455.4045121736004,7559242679,1,1
116,True,7.12,-2.0,457.9,147.3,149,460.9718125393165,7559242679,1,1
117,True,7.18,-2.0,465.9,147.2,149,468.6539249498718,7559242679,1,1
118,True,7.2,-2.0,473.8,147.0,149,476.2430095260721,7559242679,1,1
119,True,7.58,-2.0,482.0,146.9,149,484.1092083811894,7559242679,1,1
120,True,7.18,-1.8,488.0,146.7,149,489.91283161962104,7559242679,1,1
121,True,7.48,-1.8,495.3,146.6,144,496.96055390519484,7559242679,1,1
122,True,7.26,-1.5,502.2,146.5,144,503.69415392199727,7559242679,1,1
123,True,7.12,-1.6,509.4,146.4,144,510.70158013446445,7559242679,1,1
124,True,6.7,-1.7000000000000002,515.5,146.3,144,516.617024597546,7559242679,1,1
