time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
31,True,8.31,0.0,67,168.4,127.0,110,168.4,7292577820,0,0
32,True,8.29,-0.6000000000000001,69,176.6,127.0,110,176.5471584256788,7292577820,0,0
33,True,8.336,-0.6000000000000001,68,184.9,127.0,111,184.786476152251,7292577820,0,0
34,True,7.876,-0.6000000000000001,69,191.2,126.8,111,191.04124116570222,7292577820,0,0
35,True,8.292,-1.3,69,199.5,126.8,111,199.17222333825444,7292577820,0,0
36,True,7.926,-0.6000000000000001,70,208.0,126.8,112,207.61906784810034,7292577820,0,0
37,True,7.96,-1.2,71,216.4,126.6,112,215.86335511099858,7292577820,0,0
38,True,7.994,-1.1,73,224.9,126.6,112,224.2171398279391,7292577820,0,0
39,True,8.436,-1.6,72,233.4,126.4,113,232.4704267087686,7292577820,0,0
40,True,8.882,-2.6,72,243.9,126.4,113,242.38395318562348,7292577820,0,0
41,True,9.044,-3.0,77,253.2,126.0,113,251.09152478352053,7292577820,0,0
42,True,9.288,-4.2,76,262.9,125.6,113,259.9689020687958,7292577820,0,0
43,True,9.708,-3.6,69,273.4,125.2,113,269.6909203381738,7292577820,0,0
44,True,9.708,-3.5,46,281.9,124.8,113,277.572288563544,7292577820,0,0
45,True,9.71,-3.6,22,292.5,124.6,114,287.37621371234246,7292577820,0,0
46,True,9.956,-3.0,0,303.0,124.2,114,297.2087945309364,7292577820,0,0
47,True,9.842,-3.5,16,312.1,123.8,114,305.6450269070418,7292577820,0,0
48,True,9.704,-3.5,82,322.0,123.6,114,314.8245028401201,7292577820,0,0
49,True,10.13,-3.7,82,332.5,123.2,114,324.5211356799143,7292577820,0,0
50,True,10.13,-3.9,84,343.1,122.8,113,334.2796508524411,7292577820,0,0
51,True,10.458,-4.2,84,355.3,122.2,112,345.44145695805145,7292577820,0,0
52,True,11.254,-4.1,84,368.4,121.8,112,357.4472795792146,7292577820,0,0
53,True,11.572,-3.8,84,379.8,121.2,112,367.9634864702642,7292577820,0,0
54,True,11.782,-4.1,87,391.5,120.8,112,378.68296063193185,7292577820,0,0
55,True,11.998,-3.6,75,403.1,120.4,112,389.4068188386188,7292577820,0,0
56,True,12.274000000000001,-3.5,48,416.6,119.8,113,401.9182107055171,7292577820,0,0
57,True,12.158,-3.5,21,429.2,119.4,113,413.5922997280175,7292577820,0,0
58,True,12.58,-3.3,0,442.7,119.0,113,426.1526177921526,7292577820,0,0
59,True,12.53,-2.5,0,454.1,118.6,112,436.9556452641172,7292577820,0,0
60,True,12.336,-2.1,0,464.8,118.2,111,447.193045685871,7292577820,0,0
61,True,12.132,-2.2,0,477.3,118.2,111,459.1377512070757,7292577820,0,0
62,True,12.058,-1.3,0,489.5,118.0,111,471.07721044068666,7292577820,0,0
63,True,11.426,-1.9,0,499.9,117.6,110,481.08457493835493,7292577820,0,0
64,True,11.23,-1.5,0,510.3,117.6,107,491.2157091015879,7292577820,0,0
65,True,10.764,-0.5,0,518.6,117.4,104,499.47419127870825,7292577820,0,0
66,True,10.336,-1.1,0,529.0,117.4,100,509.6919675786051,7292577820,0,0
67,True,9.578,-1.1,0,537.3,117.4,99,517.849192655147,7292577820,0,0
68,True,9.164,-2.3,0,545.7,117.2,98,525.8596487514773,7292577820,0,0
69,True,8.846,-2.3,0,554.5,117.0,98,534.2529839732811,7292577820,0,0
70,True,9.162,-2.3,60,564.4,116.6,97,543.6938786582415,7292577820,0,0
71,True,8.752,-1.6,62,572.8,116.6,98,551.8521754835471,7292577820,0,0
72,True,8.748,-0.6000000000000001,52,581.1,116.4,98,560.1053127192986,7292577820,0,0
73,True,9.162,-0.5,45,591.5,116.4,99,570.4529725806242,7292577820,0,0
74,True,9.056,0.0,57,599.8,116.4,100,578.7529725806241,7292577820,0,0
75,True,9.14,0.6000000000000001,50,610.1,116.4,102,589.1432957368588,7292577820,0,0
76,True,9.15,1.3,32,618.5,116.4,103,597.7736872900141,7292577820,0,0
77,True,8.742,2.1,14,624.8,116.6,104,604.4532950658017,7292577820,0,0
78,True,7.956,3.1,0,631.3,116.8,103,611.586506065161,7292577820,0,0
79,True,7.654,3.4,0,638.0,117.0,103,619.0205338892981,7292577820,0,0
80,True,6.908,2.8,0,644.6,117.2,103,626.1994121723093,7292577820,0,0
81,True,5.996,2.1,0,648.5,117.4,102,630.3325544276581,7292577820,0,0
82,True,5.568,2.3,0,652.6,117.4,102,634.698123854325,7292577820,0,0
83,True,5.086,1.0,0,656.7,117.4,101,638.8826347397345,7292577820,0,0
84,True,4.852,1.0,0,662.3,117.6,100,644.5902628575744,7292577820,0,0
85,True,4.616,0.8,26,667.7,117.6,101,650.0720377198886,7292577820,0,0
86,True,4.84,0.0,61,672.7,117.6,102,655.0720377198886,7292577820,0,0
87,True,5.55,0.0,80,680.4,117.6,103,662.7720377198885,7292577820,0,0
88,True,6.104,0.7000000000000001,80,687.2,117.6,106,669.6475352150196,7292577820,0,0
89,True,6.23,0.7000000000000001,80,693.4,117.6,109,675.9156038198415,7292577820,0,0
90,True,6.79,0.6000000000000001,26,701.7,117.8,114,684.2976279657382,7292577820,0,0
91,True,7.386,0.6000000000000001,0,709.6,117.8,117,692.2727690007456,7292577820,0,0
92,True,7.582,0.0,27,718.3,117.8,119,700.9727690007455,7292577820,0,0
93,True,7.602,0.0,77,725.2,117.8,122,707.8727690007456,7292577820,0,0
94,True,7.874,0.0,75,732.8,117.8,123,715.4727690007455,7292577820,0,0
95,True,7.88,0.6000000000000001,72,741.1,117.8,124,723.8410106379658,7292577820,0,0
96,True,7.938,0.6000000000000001,73,749.3,117.8,125,732.1063010182567,7292577820,0,0
97,True,8.284,0.6000000000000001,72,759.7,118.0,126,742.5891083298452,7292577820,0,0
98,True,8.536,1.1,75,767.9,118.0,126,750.9805347436171,7292577820,0,0
99,True,8.684,0.6000000000000001,74,776.2,118.0,127,759.3545068089101,7292577820,0,0
100,True,8.698,1.2,74,784.6,118.2,128,767.9685848307579,7292577820,0,0
101,True,8.67,1.8,75,792.7,118.2,128,776.4481325473209,7292577820,0,0
102,True,8.282,1.2,75,801.1,118.4,128,785.0658969123265,7292577820,0,0
103,True,8.276,1.8,76,809.3,118.6,129,793.6483790332985,7292577820,0,0
104,True,8.24,1.9,74,817.4,118.6,129,802.1421524807473,7292577820,0,0
105,True,8.268,1.2,73,825.9,118.8,129,810.8481088628458,7292577820,0,0
106,True,8.152,2.3,71,833.4,119.0,130,818.8521743354281,7292577820,0,0
107,True,8.514,2.5,76,843.7,119.0,130,829.9051493444659,7292577820,0,0
108,True,8.528,2.4,78,851.9,119.4,131,838.6701652472485,7292577820,0,0
109,True,8.2,3.2,78,858.4,119.6,131,845.8495459185183,7292577820,0,0
110,True,8.286,2.5,78,867.3,119.8,131,855.4143174371859,7292577820,0,0
111,True,8.222,2.4,76,874.5,120.0,131,863.1125058804151,7292577820,0,0
112,True,8.04,3.2,74,883.9,120.2,132,873.4834810214469,7292577820,0,0
113,True,8.046,3.2,74,892.2,120.4,132,882.6178556235154,7292577820,0,0
114,True,7.992,3.4,74,898.4,120.8,133,889.5147451936949,7292577820,0,0
115,True,7.786,3.6,73,906.3,121.0,133,898.3527179028283,7292577820,0,0
116,True,7.672,3.5,78,912.9,121.2,134,905.6945680904388,7292577820,0,0
117,True,7.202,3.7,79,919.9,121.4,134,913.5414986410606,7292577820,0,0
118,True,7.044,3.5,80,927.4,121.8,134,921.8845102178907,7292577820,0,0
119,True,7.04,3.5,78,933.6,122.0,135,928.8051198801217,7292577820,0,0
120,True,7.12,3.6,77,941.9,122.2,135,938.0998160095288,7292577820,0,0
121,True,7.038,3.3,78,948.1,122.4,135,944.9504050417222,7292577820,0,0
122,True,7.004,3.5,78,954.9,122.8,136,952.5308241234038,7292577820,0,0
123,True,7.392,3.4,76,964.3,123.0,136,962.9873986330308,7292577820,0,0
124,True,7.354,2.8,74,970.4,123.2,137,969.6224225006623,7292577820,0,0
125,True,7.042,3.3,73,977.1,123.4,137,977.0240905384323,7292577820,0,0
126,True,7.046,3.2,72,983.3,123.6,138,983.8515777444181,7292577820,0,0
127,True,6.788,3.2,72,988.9,123.8,139,990.0323027030098,7292577820,0,0
128,True,6.28,3.2,70,995.7,124.0,139,997.5340234033131,7292577820,0,0
129,True,6.31,2.3,70,1001.9,124.2,140,1004.1594526117744,7292577820,0,0
130,True,6.222,2.3,71,1008.2,124.4,140,1010.8846221615299,7292577820,0,0
131,True,6.22,1.5,71,1014.4,124.4,141,1017.2948115125666,7292577820,0,0
132,True,6.522,0.7000000000000001,73,1021.5,124.6,141,1024.483655405908,7292577820,0,0
133,True,6.628,0.7000000000000001,75,1028.9,124.6,141,1031.9700971743814,7292577820,0,0
