time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,0.8,72,4.1,448.4,120,4.1,7405237807,0,0
7,True,4.086,0.5,75,32.7,448.8,122,32.87923296545005,7405237807,0,0
16,True,4.529,0.2,78,76.6,449.0,121,76.89491004656226,7405237807,0,0
18,True,4.94,-0.8,74,87.1,448.8,121,87.27974356171873,7405237807,0,0
21,True,5.252,-1.2,84,102.8,448.6,120,102.67902997317941,7405237807,0,0
27,True,4.878,-0.5,0,130.9,448.0,117,130.64957169810228,7405237807,0,0
31,True,3.985,-0.30000000000000004,0,142.7,448.2,116,142.41820827805208,7405237807,0,0
36,True,3.967,0.7000000000000001,76,166.6,448.4,113,166.58555453794048,7405237807,0,0
37,True,4.833,-0.2,80,171.7,448.4,112,171.67632563044782,7405237807,0,0
46,True,5.083,-0.6000000000000001,61,217.5,448.6,111,217.20929704996217,7405237807,0,0
52,True,4.815,-0.6000000000000001,0,243.9,448.0,111,243.4622474642394,7405237807,0,0
58,True,4.48,-1.3,78,271.2,447.8,109,270.18425120529855,7405237807,0,0
66,True,5.023,-0.9,0,314.2,447.6,106,312.6409503762548,7405237807,0,0
68,True,5.319,-0.9,0,324.4,447.2,104,322.7091420961263,7405237807,0,0
70,True,5.188,-0.5,0,333.5,447.2,101,331.7655167728118,7405237807,0,0
71,True,4.626,0.0,0,337.4,447.2,100,335.66551677281177,7405237807,0,0
75,True,3.774,1.5,68,352.4,447.4,100,351.182163632782,7405237807,0,0
76,True,3.95,1.4,70,357.1,447.2,101,356.0339304080358,7405237807,0,0
82,True,4.9510000000000005,1.7000000000000002,78,387.0,448.0,103,387.1674388270326,7405237807,0,0
86,True,5.01,1.7000000000000002,75,407.2,448.2,104,408.1898586153702,7405237807,0,0
87,True,5.064,0.0,83,412.3,448.4,105,413.28985861537024,7405237807,0,0
88,True,5.082,0.4,79,417.5,448.2,105,418.5194514861328,7405237807,0,0
90,True,5.099,0.8,81,427.8,448.0,106,428.96144937501174,7405237807,0,0
95,True,5.06,2.1,77,452.9,448.4,108,455.57043448139854,7405237807,0,0
97,True,4.991,2.7,76,462.8,448.8,109,466.2744463825273,7405237807,0,0
101,True,4.963,2.3,78,482.7,449.6,112,487.4739866985853,7405237807,0,0
102,True,5.04,1.4,82,488.0,449.6,112,492.94556200859586,7405237807,0,0
107,True,5.298,0.6000000000000001,82,514.5,449.8,113,519.6935361994177,7405237807,0,0
113,True,5.315,1.0,83,546.4,450.0,115,552.2438875649776,7405237807,0,0
119,True,5.374,0.9,85,579.0,450.2,117,585.4025509479617,7405237807,0,0
120,True,5.467,1.0,87,584.7,450.6,117,591.2085932921574,7405237807,0,0
127,True,5.524,1.0,83,623.2,450.8,117,630.5084425192426,7405237807,0,0
128,True,5.481,0.4,82,628.5,450.8,117,635.8337111127256,7405237807,0,0
133,True,5.375,0.8,85,655.4,451.0,119,663.087935314309,7405237807,0,0
140,True,5.438,0.6000000000000001,85,693.8,451.0,117,701.7986275486234,7405237807,0,0
146,True,5.5280000000000005,0.5,87,727.3,451.6,117,735.5220259978047,7405237807,0,0
147,True,5.591,0.7000000000000001,88,732.9,451.4,116,741.1809361880918,7405237807,0,0
154,True,5.644,0.30000000000000004,87,772.4,451.6,117,780.810482144676,7405237807,0,0
156,True,5.639,0.30000000000000004,89,783.7,451.6,118,792.1474954521517,7405237807,0,0
160,True,5.687,-0.30000000000000004,91,806.6,451.8,117,814.9861842248381,7405237807,0,0
161,True,5.716,-0.2,88,812.3,451.6,117,820.6747511062716,7405237807,0,0
166,True,5.708,-0.2,88,840.8,451.4,115,849.1135644869803,7405237807,0,0
172,True,5.708,-0.2,85,875.0,451.4,113,883.2445119803579,7405237807,0,0
175,True,5.679,0.5,85,891.9,451.6,113,900.2494112913366,7405237807,0,0
177,True,5.592,1.0,86,903.0,451.4,112,911.5632935815613,7405237807,0,0
181,True,5.447,1.0,79,924.6,451.8,113,933.5881570085747,7405237807,0,0
183,True,5.372,1.4,80,935.2,452.0,113,944.5054194264246,7405237807,0,0
186,True,5.334,0.8,83,951.3,452.2,114,960.8397270592122,7405237807,0,0
