,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,time,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-30.6,13.6,1226.6,85,0,13.6,8665591027,1,1
1,True,1.06,-22.2,14.6,1223.2,86,1,14.764464259058988,8665591027,1,1
2,False,0.05,-17.0,14.6,1225.0,88,21,14.764464259058988,8665591027,1,1
3,True,0.084,-13.9,16.4,1225.2,88,22,16.421942297232953,8665591027,1,1
4,True,0.16,18.5,18.1,1225.2,84,23,20.091388631849004,8665591027,1,1
5,True,0.228,1.9,19.9,1225.2,87,24,21.97849014581199,8665591027,1,1
6,True,0.30000000000000004,0.0,21.8,1225.2,87,25,23.87849014581199,8665591027,1,1
7,True,1.798,0.0,23.6,1225.2,87,26,25.678490145811992,8665591027,1,1
8,True,1.806,0.0,25.4,1225.2,87,27,27.47849014581199,8665591027,1,1
9,True,1.8439999999999999,0.0,27.4,1225.2,87,28,29.47849014581199,8665591027,1,1
10,True,1.97,0.0,29.7,1225.2,89,29,31.77849014581199,8665591027,1,1
11,True,2.016,0.0,31.9,1225.2,89,30,33.97849014581199,8665591027,1,1
12,True,1.998,0.0,33.6,1225.2,89,31,35.67849014581199,8665591027,1,1
13,True,2.034,0.0,35.6,1225.2,87,32,37.67849014581199,8665591027,1,1
14,True,2.036,0.0,37.5,1225.2,86,33,39.57849014581199,8665591027,1,1
15,True,1.962,0.0,39.5,1225.2,85,34,41.57849014581199,8665591027,1,1
16,True,2.188,0.0,44.5,1225.2,86,36,46.57849014581199,8665591027,1,1
17,True,2.254,1.9,46.9,1225.2,88,37,49.101312369338494,8665591027,1,1
18,True,2.25,6.3,48.8,1225.2,85,38,51.45997128518414,8665591027,1,1
19,True,2.074,6.9,49.9,1225.4,85,39,52.86185788112517,8665591027,1,1
20,True,1.827,7.4,50.5,1225.4,87,40,53.64355736658481,8665591027,1,1
21,True,1.264,6.0,50.9,1225.6,86,41,54.13624544142844,8665591027,1,1
22,False,0.041,5.0,50.9,1226.0,91,49,54.13624544142844,8665591027,1,1
23,True,0.47500000000000003,3.6,56.1,1226.0,91,52,59.95232234388818,8665591027,1,1
24,True,0.5670000000000001,0.0,57.7,1226.0,93,53,61.55232234388818,8665591027,1,1
25,True,1.8599999999999999,0.0,62.0,1226.0,92,55,65.85232234388818,8665591027,1,1
26,True,1.976,0.0,64.7,1226.0,91,56,68.55232234388818,8665591027,1,1
27,True,2.436,0.0,69.8,1226.0,90,58,73.65232234388817,8665591027,1,1
28,True,2.498,0.0,72.7,1226.0,90,59,76.55232234388818,8665591027,1,1
29,True,2.608,0.0,80.3,1226.0,91,62,84.15232234388817,8665591027,1,1
30,True,2.858,-1.0,84.1,1226.0,91,63,87.89459645684889,8665591027,1,1
31,True,2.984,-1.2,87.6,1226.0,93,64,91.32637050189945,8665591027,1,1
32,True,3.29,-1.6,92.4,1225.8,90,65,95.9867470417503,8665591027,1,1
33,True,3.424,-1.6,96.6,1225.8,91,66,100.06537002290808,8665591027,1,1
34,True,4.2,-1.8,108.6,1225.6,92,69,111.65852922679322,8665591027,1,1
35,True,3.958,-2.0,112.2,1225.6,92,70,115.113044038764,8665591027,1,1
36,True,3.588,-1.6,114.6,1225.4,94,71,117.44277515842744,8665591027,1,1
37,True,3.2800000000000002,-1.8,116.3,1225.4,95,72,119.0827172509886,8665591027,1,1
38,True,3.057,0.0,118.0,1225.4,96,73,120.7827172509886,8665591027,1,1
39,True,2.452,0.0,120.8,1225.4,98,74,123.5827172509886,8665591027,1,1
40,True,2.164,0.0,123.0,1225.4,98,75,125.7827172509886,8665591027,1,1
41,True,1.9420000000000002,0.0,126.0,1225.4,100,77,128.78271725098858,8665591027,1,1
42,True,1.69,0.0,129.3,1225.4,101,79,132.0827172509886,8665591027,1,1
43,True,1.65,0.0,131.3,1225.4,103,80,134.0827172509886,8665591027,1,1
44,True,1.625,7.2,132.8,1225.4,102,81,136.02168709348751,8665591027,1,1
45,True,1.51,6.5,133.6,1225.4,102,82,137.02519411652523,8665591027,1,1
46,False,1.302,8.7,133.8,1225.4,103,83,137.30066933407863,8665591027,1,1
47,True,1.002,8.1,134.3,1225.4,103,84,137.97270583709113,8665591027,1,1
48,False,0.007,9.2,134.3,1226.0,99,150,137.97270583709113,8665591027,1,1
49,True,0.014,7.9,135.2,1226.0,98,151,139.17028426867776,8665591027,1,1
50,True,0.058,8.2,138.3,1226.2,97,153,143.34278105059082,8665591027,1,1
51,True,0.093,4.4,140.8,1226.4,98,154,146.2189807201762,8665591027,1,1
52,True,1.8639999999999999,2.4,143.6,1226.4,96,155,149.2193584190007,8665591027,1,1
53,True,2.29,2.4,149.0,1226.6,98,157,154.99299975142247,8665591027,1,1
54,True,2.8,2.4,154.8,1226.6,97,159,161.1909819141765,8665591027,1,1
55,True,2.822,1.4,157.7,1226.8,96,160,164.1800038096182,8665591027,1,1
56,True,2.83,3.5,160.6,1226.8,93,161,167.4151705114573,8665591027,1,1
57,True,2.908,3.6,163.5,1226.8,94,162,170.65752817391402,8665591027,1,1
