time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,0.0,9.7,434.3,122,9.7,8740154591,1,0
2,True,0.9480000000000001,0.0,11.6,434.3,122,11.6,8740154591,1,0
3,True,1.264,0.0,13.5,434.3,122,13.5,8740154591,1,0
4,True,1.422,0.30000000000000004,15.3,434.3,122,15.307246694299028,8740154591,1,0
5,True,2.21,0.30000000000000004,20.7,434.3,122,20.727483140338677,8740154591,1,0
7,True,2.21,0.2,43.9,434.4,122,44.00179051362713,8740154591,1,0
8,True,6.943,0.5,48.2,434.4,122,48.327617903188134,8740154591,1,0
9,True,8.12,0.4,55.9,434.4,122,56.06287465864807,8740154591,1,0
10,True,8.65,0.0,64.0,434.5,122,64.16287465864806,8740154591,1,0
11,True,8.593,0.0,72.3,434.5,122,72.46287465864806,8740154591,1,0
12,True,6.854,-1.4,78.1,434.4,122,78.13371398401276,8740154591,1,0
14,True,5.466,-2.9,83.3,434.4,122,83.0081161059278,8740154591,1,0
15,True,4.414,-3.5,86.0,434.2,122,85.51375475674664,8740154591,1,0
16,True,3.396,-5.0,89.3,434.0,122,88.49468526678552,8740154591,1,0
17,True,2.894,-4.8,92.6,433.9,122,91.48389003818494,8740154591,1,0
18,False,2.442,-4.5,92.8,433.9,122,91.6658323723121,8740154591,1,0
19,True,2.006,-4.2,93.3,433.9,122,92.12306257118573,8740154591,1,0
20,True,1.658,-3.2,94.3,433.8,122,93.05566478510077,8740154591,1,0
21,True,1.076,-2.1,94.6,433.8,122,93.3427642777328,8740154591,1,0
23,False,0.41000000000000003,-2.1,94.8,433.8,122,93.53439005584904,8740154591,1,0
28,False,0.06,-2.1,95.1,433.8,122,93.8218287230234,8740154591,1,0
31,False,0.076,-2.9,95.4,433.8,122,94.10320253134327,8740154591,1,0
32,False,0.07100000000000001,-2.8,95.5,433.8,129,94.1972441755692,8740154591,1,0
35,True,0.489,-2.5,98.5,433.8,128,97.03732699170195,8740154591,1,0
36,False,0.642,-2.5,98.7,433.8,128,97.22698472000464,8740154591,1,0
37,False,0.638,-2.3,98.7,433.8,128,97.22698472000464,8740154591,1,0
38,False,0.5680000000000001,-2.3,98.9,433.8,128,97.41751110477676,8740154591,1,0
39,False,0.489,-2.2,98.9,433.8,128,97.41751110477676,8740154591,1,0
40,False,0.08600000000000001,-2.2,98.9,433.8,128,97.41751110477676,8740154591,1,0
41,False,0.1,-2.0,99.2,433.8,128,97.70547491679656,8740154591,1,0
42,True,0.176,-2.0,99.6,433.7,128,98.08988218575273,8740154591,1,0
43,False,0.186,-1.9,99.8,433.7,128,98.28230473498833,8740154591,1,0
44,True,0.28200000000000003,-2.0,100.3,433.7,122,98.76309014740933,8740154591,1,0
45,False,0.318,-1.0,100.5,433.7,122,98.96011381725074,8740154591,1,0
46,False,0.28800000000000003,-1.9,100.6,433.7,122,99.05648153331082,8740154591,1,0
47,False,0.22,-1.9,100.7,433.7,122,99.15274595790581,8740154591,1,0
48,True,0.258,-1.9,101.1,433.7,122,99.53759105637701,8740154591,1,0
49,False,0.198,-2.0,101.3,433.7,122,99.72990522134542,8740154591,1,0
50,False,0.162,-2.1,101.3,433.7,122,99.72990522134542,8740154591,1,0
51,False,0.14,-2.4,101.3,433.7,122,99.72990522134542,8740154591,1,0
52,False,0.18,-2.4,101.6,433.7,122,100.01462221963128,8740154591,1,0
53,False,0.088,-2.5,101.6,433.7,122,100.01462221963128,8740154591,1,0
54,False,0.098,-2.5,101.8,433.7,105,100.20390635203717,8740154591,1,0
55,False,0.098,-1.8,101.8,433.7,105,100.20390635203717,8740154591,1,0
56,True,0.196,-1.9,102.3,433.7,105,100.68548916299542,8740154591,1,0
57,False,0.182,-1.9,102.5,433.7,105,100.87791171223103,8740154591,1,0
