time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
54,True,5.52,2.9,56,187.5,39.2,111,208.710694529733,9569081974,1,0
55,True,5.5600000000000005,3.6,53,193.2,39.4,113,215.07883701185318,9569081974,1,0
56,True,5.6,3.6,50,198.8,39.6,113,221.33525769604148,9569081974,1,0
57,True,5.6,3.6,57,204.4,39.8,114,227.59342824413244,9569081974,1,0
62,True,5.583,3.0,60,232.3,40.8,116,258.11915327156584,9569081974,1,0
63,True,5.583,3.0,54,237.9,41.0,117,264.25252094081924,9569081974,1,0
68,True,5.6,2.5,56,265.9,41.6,118,294.31530242150797,9569081974,1,0
70,True,5.657,2.3,57,277.5,42.0,119,306.68661110455844,9569081974,1,0
77,True,5.244,2.0,52,313.1,42.8,120,344.18412640511986,9569081974,1,0
79,True,5.256,1.1,52,324.8,43.0,120,356.1452926124162,9569081974,1,0
81,True,5.382,0.30000000000000004,56,336.7,43.0,120,368.09504988086417,9569081974,1,0
86,True,6.243,-0.30000000000000004,56,368.5,43.0,120,399.81981022707544,9569081974,1,0
87,True,6.433,-0.30000000000000004,55,375.3,43.0,121,406.602538559239,9569081974,1,0
91,True,6.74,1.0,56,402.2,42.8,121,434.045194397896,9569081974,1,0
92,True,6.7,1.3,56,408.8,42.8,121,440.84168576835236,9569081974,1,0
98,True,6.314,2.4,58,446.4,43.8,121,481.14519489527254,9569081974,1,0
101,True,6.167,2.3,50,464.3,44.2,121,500.26936541752946,9569081974,1,0
103,True,5.96,2.2,49,476.2,44.6,121,512.9262178166159,9569081974,1,0
106,True,5.94,1.7000000000000002,56,494.0,44.8,120,531.4613795420938,9569081974,1,0
110,True,5.986,1.1,51,518.1,45.4,118,556.0993372853281,9569081974,1,0
115,True,6.011,0.8,50,548.1,45.6,117,586.4844521445395,9569081974,1,0
121,True,6.118,0.0,58,585.4,45.8,114,623.7844521445395,9569081974,1,0
127,True,6.517,-0.30000000000000004,56,626.3,45.8,113,664.553735974315,9569081974,1,0
130,True,6.956,-0.9,57,648.0,45.4,113,685.9556675913668,9569081974,1,0
132,True,7.28,-0.6000000000000001,54,662.7,45.2,114,700.5475441798907,9569081974,1,0
133,True,7.3,-0.4,56,670.1,45.0,114,707.921878165916,9569081974,1,0
140,True,7.075,-0.2,49,719.3,45.2,113,757.0299391912016,9569081974,1,0
145,True,6.958,-0.2,57,753.6,45.0,111,791.2704000878987,9569081974,1,0
146,True,6.9,-0.8,52,760.7,45.0,111,798.2895248858784,9569081974,1,0
148,True,7.038,-1.8,54,775.6,44.8,112,812.7044761417465,9569081974,1,0
150,True,7.52,-2.1,56,791.2,44.6,113,827.6263829804343,9569081974,1,0
151,True,7.7,-2.1,57,799.2,44.2,113,835.2914141050838,9569081974,1,0
152,True,7.767,-2.1,57,807.3,44.0,114,843.0461959709855,9569081974,1,0
154,True,8.0,-1.6,57,823.6,43.8,116,858.9091132295059,9569081974,1,0
157,True,8.14,-1.4,58,848.0,43.4,119,882.7474445998357,9569081974,1,0
159,True,8.0,-1.1,55,863.6,43.2,119,898.0679348671047,9569081974,1,0
161,True,7.871,-0.6000000000000001,57,878.7,43.0,119,913.0715010964809,9569081974,1,0
163,True,7.533,0.0,49,893.2,43.0,118,927.5715010964809,9569081974,1,0
166,True,7.2,0.30000000000000004,54,914.7,43.0,116,949.15126757066,9569081974,1,0
168,True,7.06,0.6000000000000001,51,928.5,43.2,115,963.0644262277907,9569081974,1,0
171,True,6.82,0.8,46,948.8,43.2,114,983.657774444406,9569081974,1,0
173,True,6.76,1.4,55,962.3,43.4,114,997.5752722401419,9569081974,1,0
177,True,6.55,2.4,49,988.1,43.6,113,1025.2104712489722,9569081974,1,0
179,True,6.383,2.8,44,1000.6,44.2,113,1038.8176919930804,9569081974,1,0
180,True,6.357,3.6,44,1006.8,44.6,113,1045.7444434648603,9569081974,1,0
183,True,6.267,2.3,51,1025.7,45.2,112,1065.9234782541923,9569081974,1,0
185,True,6.34,1.0,47,1038.5,45.4,110,1078.9726660692502,9569081974,1,0
187,True,6.471,-0.6000000000000001,54,1052.1,45.4,111,1092.4784778852766,9569081974,1,0
189,True,6.817,-1.8,60,1066.6,45.2,114,1106.4946143260715,9569081974,1,0
192,True,7.52,-3.1,58,1089.7,44.8,113,1128.09362195454,9569081974,1,0
194,True,7.84,-3.0,61,1105.8,44.2,112,1143.1691343761352,9569081974,1,0
197,True,8.12,-2.9,65,1130.3,43.0,112,1166.1350674505425,9569081974,1,0
199,True,8.18,-2.7,66,1146.7,42.8,111,1181.5948290740807,9569081974,1,0
202,True,8.2,-1.5,63,1171.3,42.4,115,1205.5534445572061,9569081974,1,0
204,True,8.18,-1.1,60,1187.6,42.0,114,1221.5849892657347,9569081974,1,0
205,True,8.183,-0.6000000000000001,60,1195.8,42.0,115,1229.7321476914135,9569081974,1,0
208,True,8.267,-1.5,64,1220.9,42.0,119,1254.1973528898568,9569081974,1,0
210,True,8.38,-1.8,59,1237.7,42.0,120,1270.451371275069,9569081974,1,0
212,True,8.357,-2.2,61,1254.3,41.0,118,1286.3068212258806,9569081974,1,0
216,True,8.233,-3.0,62,1287.1,40.4,118,1316.9971721484558,9569081974,1,0
219,True,8.214,-2.2,52,1311.8,40.0,117,1340.5740406879916,9569081974,1,0
222,True,8.25,-2.4,49,1336.6,39.0,116,1364.1275625183284,9569081974,1,0
224,True,8.28,-2.4,52,1353.2,38.8,119,1379.8976863926964,9569081974,1,0
227,True,8.34,-1.7000000000000002,50,1378.3,38.2,119,1404.1941868710421,9569081974,1,0
230,True,8.367,-2.0,52,1403.4,37.8,121,1428.3254817449897,9569081974,1,0
233,True,8.417,-2.1,49,1428.8,37.4,125,1452.6419813164182,9569081974,1,0
236,True,8.583,-2.8,53,1454.9,36.8,125,1477.17631113751,9569081974,1,0
238,True,8.82,-3.2,60,1472.9,36.2,125,1493.9597339975446,9569081974,1,0
239,True,8.867,-4.0,58,1482.0,35.6,124,1502.3138007811592,9569081974,1,0
240,True,8.9,-4.0,56,1491.1,35.4,124,1510.6773636972473,9569081974,1,0
243,True,9.28,-3.7,58,1519.3,34.2,122,1536.7354322623414,9569081974,1,0
246,True,9.55,-3.6,60,1548.4,33.2,119,1563.6816175813715,9569081974,1,0
247,True,9.6,-2.9,58,1558.3,32.8,117,1572.9621943662637,9569081974,1,0
251,True,9.9,-2.7,64,1597.9,31.6,115,1610.299432094013,9569081974,1,0
255,True,9.588,-2.3,54,1635.0,30.8,116,1645.6149526168274,9569081974,1,0
257,True,9.15,-1.1,54,1652.8,30.4,116,1663.107917109086,9569081974,1,0
260,True,8.72,-0.6000000000000001,49,1678.6,30.0,115,1688.7460896264595,9569081974,1,0
268,True,8.036,-0.30000000000000004,46,1741.2,30.0,113,1751.180065471088,9569081974,1,0
272,True,7.583,-0.1,62,1769.6,30.0,110,1779.5411073768726,9569081974,1,0
275,True,7.1,-0.30000000000000004,49,1790.9,30.0,108,1800.7910986693944,9569081974,1,0
278,True,7.083,-0.2,55,1812.1,29.8,105,1821.945954877121,9569081974,1,0
279,True,7.086,-0.6000000000000001,53,1819.2,29.8,105,1829.007175515107,9569081974,1,0
284,True,7.25,-0.6000000000000001,53,1855.6,29.8,102,1865.1632771744398,9569081974,1,0
285,True,7.267,-0.4,51,1862.8,29.6,102,1872.3386085225738,9569081974,1,0
287,True,7.25,-0.2,49,1877.2,29.4,102,1886.7155973630233,9569081974,1,0
294,True,7.033,0.5,48,1926.1,29.4,101,1935.9356738799272,9569081974,1,0
301,True,6.643,1.0,52,1970.2,29.6,104,1980.9328733904292,9569081974,1,0
303,True,6.211,1.8,56,1982.0,30.2,104,1993.2702013559315,9569081974,1,0
305,True,6.118,3.2,56,1993.4,30.6,104,2005.847766952502,9569081974,1,0
307,True,5.767,2.7,51,2004.8,30.8,109,2018.198578674576,9569081974,1,0
312,True,5.571,2.3,60,2032.4,31.6,110,2047.652445162272,9569081974,1,0
315,True,5.45,2.4,52,2048.4,32.0,113,2064.797460584127,9569081974,1,0
316,True,5.444,0.2,51,2053.8,32.0,114,2070.2140611675213,9569081974,1,0
319,True,5.486,-0.8,57,2070.8,32.4,117,2087.0445988647234,9569081974,1,0
326,True,6.32,-0.8,58,2117.0,31.8,119,2132.7683587073207,9569081974,1,0
331,True,6.817,-0.7000000000000001,52,2152.6,31.2,116,2168.066045334731,9569081974,1,0
335,True,7.156,-0.1,54,2181.4,31.0,117,2196.8296467303903,9569081974,1,0
344,True,6.923,0.8,51,2242.6,31.2,120,2258.809809137524,9569081974,1,0
347,True,6.708,1.3,46,2261.9,31.6,117,2278.630954803249,9569081974,1,0
351,True,6.129,2.2,46,2285.5,32.2,120,2303.7472191441575,9569081974,1,0
353,True,5.167,2.3,0,2292.9,32.4,121,2311.6324449279455,9569081974,1,0
355,True,4.2620000000000005,3.1,0,2296.0,32.4,120,2315.035867153699,9569081974,1,0
356,True,2.3,0.0,0,2297.0,32.4,120,2316.035867153699,9569081974,1,0
358,True,1.12,0.0,0,2298.5,32.6,119,2317.535867153699,9569081974,1,0
363,False,0.329,0.0,0,2299.3,32.4,115,2318.3358671536994,9569081974,1,0
364,False,0.133,0.0,0,2299.3,32.4,113,2318.3358671536994,9569081974,1,0
367,True,0.211,0.0,0,2300.4,32.4,110,2319.4358671536993,9569081974,1,0
373,False,0.122,0.0,0,2300.4,32.4,107,2319.4358671536993,9569081974,1,0
388,False,0.0,0.0,0,2300.4,32.4,107,2319.4358671536993,9569081974,1,0
391,False,0.0,0.0,0,2300.4,32.4,104,2319.4358671536993,9569081974,1,0
393,False,0.0,0.0,0,2300.4,32.4,101,2319.4358671536993,9569081974,1,0
396,False,0.0,0.0,0,2300.4,32.4,98,2319.4358671536993,9569081974,1,0
399,True,0.317,0.0,17,2302.3,32.4,96,2321.3358671536994,9569081974,1,0
400,True,0.6000000000000001,1.1,17,2304.6,32.4,96,2323.6874154832726,9569081974,1,0
405,True,3.333,2.0,30,2322.3,32.4,96,2342.3492654325887,9569081974,1,0
409,True,3.567,2.3,37,2336.7,32.8,96,2357.6769520278294,9569081974,1,0
414,True,3.322,3.8,28,2352.2,33.4,97,2375.1440549368276,9569081974,1,0
416,True,3.029,4.8,37,2357.9,33.6,97,2381.823007096617,9569081974,1,0
418,True,3.078,5.7,37,2364.4,34.0,97,2389.7232260815126,9569081974,1,0
420,True,2.95,7.2,37,2369.9,34.4,97,2396.819195869084,9569081974,1,0
422,True,2.533,6.0,11,2373.1,34.6,98,2400.7459071184326,9569081974,1,0
423,True,2.04,3.8,14,2374.6,34.8,98,2402.437640058287,9569081974,1,0
425,True,1.58,2.8,22,2377.8,34.8,97,2405.916660952411,9569081974,1,0
428,True,2.2,1.4,34,2385.6,35.0,97,2413.959458110397,9569081974,1,0
431,True,2.783,2.8,26,2394.5,35.2,98,2423.635484972179,9569081974,1,0
434,True,2.95,3.6,39,2403.3,35.2,98,2433.4829811990458,9569081974,1,0
439,True,3.262,3.9,52,2420.6,36.0,98,2453.029177629796,9569081974,1,0
440,True,3.5,4.7,46,2424.3,36.4,97,2457.3474666765624,9569081974,1,0
446,True,3.657,4.5,47,2446.2,37.2,98,2482.702944334165,9569081974,1,0
447,True,3.657,4.6,45,2449.9,37.4,98,2486.9925820710514,9569081974,1,0
452,True,3.85,5.2,49,2469.3,38.2,99,2510.0809806492016,9569081974,1,0
454,True,3.871,5.1,45,2477.0,38.8,101,2519.219210811899,9569081974,1,0
456,True,3.856,5.6,51,2484.6,39.2,101,2528.4194857962298,9569081974,1,0
461,True,3.914,4.9,48,2504.4,40.2,103,2551.736539419898,9569081974,1,0
462,True,3.95,5.0,51,2508.3,40.4,103,2556.330522057666,9569081974,1,0
466,True,3.42,1.2,42,2521.5,41.0,104,2569.8688457472563,9569081974,1,0
467,True,3.34,0.4,42,2525.0,41.2,105,2573.3865208020675,9569081974,1,0
474,True,4.063,-1.4,0,2554.0,40.8,105,2601.746157946672,9569081974,1,0
476,True,3.867,-2.5,44,2559.8,40.6,104,2607.237510732097,9569081974,1,0
478,True,3.709,-3.3,50,2565.8,40.4,104,2612.822150896815,9569081974,1,0
484,True,4.55,-4.2,0,2596.2,39.4,104,2640.629228610692,9569081974,1,0
485,True,5.243,-3.9,0,2602.5,39.2,103,2646.428113155217,9569081974,1,0
487,True,5.622,-4.6,0,2616.4,38.2,102,2659.060809167009,9569081974,1,0
490,True,7.06,-5.4,0,2637.8,37.6,99,2678.262603216488,9569081974,1,0
491,True,6.917,-4.9,0,2644.0,37.2,98,2683.86987458585,9569081974,1,0
494,True,5.9,-5.9,0,2657.7,36.2,96,2696.0882007878627,9569081974,1,0
495,True,4.66,-3.5,54,2661.1,36.0,95,2699.2419449399827,9569081974,1,0
499,True,4.18,-2.1,49,2678.6,35.2,95,2715.9812635090234,9569081974,1,0
504,True,4.5,-0.6000000000000001,27,2701.6,35.2,96,2738.819074991826,9569081974,1,0
505,True,4.283,0.9,25,2704.3,35.2,95,2741.561336785637,9569081974,1,0
511,True,3.271,0.5,54,2724.5,35.6,93,2761.8960427161883,9569081974,1,0
516,True,3.982,0.5,68,2748.1,35.8,94,2785.6479681873175,9569081974,1,0
522,True,5.009,0.4,54,2779.6,35.6,91,2817.3114889039853,9569081974,1,0
523,True,5.286,0.2,56,2785.1,35.6,90,2822.8265617905586,9569081974,1,0
530,True,5.6370000000000005,1.5,58,2824.7,36.0,91,2863.752186999441,9569081974,1,0
533,True,5.79,1.5,57,2843.0,36.0,94,2882.6955151477996,9569081974,1,0
536,True,6.083,2.3,64,2861.2,36.8,97,2902.0868182553286,9569081974,1,0
539,True,5.767,4.5,55,2877.6,37.0,99,2921.040456363819,9569081974,1,0
540,True,6.171,5.5,60,2886.2,37.4,99,2931.4113608838056,9569081974,1,0
543,True,5.071,8.5,53,2896.7,38.4,100,2945.743824242454,9569081974,1,0
545,True,3.66,7.5,53,2904.5,39.2,101,2955.9501156820384,9569081974,1,0
546,True,3.667,4.9,52,2908.2,39.6,101,2960.2979321733887,9569081974,1,0
550,True,3.8,2.7,66,2923.5,40.2,101,2976.8804977779905,9569081974,1,0
553,True,4.2,1.3,67,2937.6,40.4,103,2991.375851976375,9569081974,1,0
555,True,5.02,-1.4,64,2948.6,40.4,103,3002.129919380941,9569081974,1,0
556,True,5.2,-2.5,73,2954.7,40.2,103,3007.9154263092555,9569081974,1,0
562,True,6.857,-2.6,66,2996.6,39.2,101,3047.49653938424,9569081974,1,0
565,True,7.122,-2.0,64,3018.8,38.4,100,3068.835259344898,9569081974,1,0
568,True,7.317,-1.6,64,3040.5,38.0,101,3089.9162451497605,9569081974,1,0
573,True,7.188,-0.4,61,3076.3,37.8,104,3125.575405813228,9569081974,1,0
574,True,7.15,0.2,64,3083.4,37.8,103,3132.6971553800854,9569081974,1,0
578,True,7.12,1.0,56,3111.9,38.0,104,3161.7190324054854,9569081974,1,0
580,True,7.0,1.5,54,3125.4,38.2,105,3175.6813666353137,9569081974,1,0
582,True,6.8870000000000005,2.6,56,3138.5,38.4,106,3189.8240722167625,9569081974,1,0
584,True,6.433,3.4,50,3150.5,38.8,106,3203.1424711455306,9569081974,1,0
588,True,5.75,2.1,44,3173.0,39.6,106,3226.9676381339104,9569081974,1,0
589,True,5.62,0.4,51,3178.6,40.0,106,3232.5999313604393,9569081974,1,0
596,True,6.313,0.6000000000000001,61,3223.5,40.2,105,3277.8438703170873,9569081974,1,0
605,True,6.7,0.6000000000000001,60,3285.8,39.4,105,3340.6236460177806,9569081974,1,0
610,True,6.629,1.1,64,3316.3,40.4,102,3371.8202948712224,9569081974,1,0
611,True,5.95,5.2,70,3321.5,40.8,104,3377.9985521554745,9569081974,1,0
613,True,5.65,8.7,71,3331.0,41.4,105,3391.0836249892595,9569081974,1,0
615,True,4.74,9.1,64,3340.0,42.2,105,3403.7207183080036,9569081974,1,0
617,True,4.5,9.5,60,3348.5,43.2,105,3415.8407097301133,9569081974,1,0
619,True,4.267,10.7,72,3356.6,44.0,104,3428.0316974696566,9569081974,1,0
620,True,4.12,10.7,72,3360.6,44.2,104,3434.0589153839674,9569081974,1,0
623,True,3.9,11.2,61,3371.9,45.6,105,3451.519741712781,9569081974,1,0
626,True,3.6,12.1,61,3382.2,46.8,106,3468.122953216437,9569081974,1,0
628,True,3.36,11.6,61,3388.7,47.6,109,3478.349215043981,9569081974,1,0
629,True,3.333,10.9,63,3391.9,48.0,110,3483.2232850882124,9569081974,1,0
632,True,3.167,9.4,65,3401.2,49.0,113,3496.4608483094003,9569081974,1,0
633,True,3.1,9.2,62,3404.2,49.2,114,3500.691067161273,9569081974,1,0
637,True,3.02,9.6,57,3416.3,50.2,116,3518.0205833030404,9569081974,1,0
639,True,3.017,11.2,61,3422.3,50.8,116,3527.2944879255188,9569081974,1,0
641,True,3.025,11.5,63,3428.4,51.6,116,3536.8463487472313,9569081974,1,0
643,True,3.033,9.3,63,3434.5,52.6,116,3545.48777082542,9569081974,1,0
647,True,3.2,5.8,59,3447.6,53.8,117,3561.425911518241,9569081974,1,0
651,True,3.575,4.9,58,3463.1,54.6,119,3579.612435468582,9569081974,1,0
656,True,4.033,5.1,69,3483.9,54.8,120,3604.278361259489,9569081974,1,0
658,True,4.157,5.8,58,3492.2,55.4,119,3614.3827575754776,9569081974,1,0
659,True,4.413,7.4,58,3498.4,56.4,119,3622.460318925228,9569081974,1,0
664,True,3.8,7.0,62,3515.0,57.6,119,3643.72863764091,9569081974,1,0
669,True,3.68,6.9,64,3535.2,58.6,119,3669.4947621486303,9569081974,1,0
674,True,3.98,6.8,63,3554.8,59.8,120,3694.3499806543173,9569081974,1,0
676,True,3.829,9.3,49,3562.0,60.8,119,3704.5444795460153,9569081974,1,0
677,True,3.75,12.4,45,3565.2,61.0,119,3709.7772197163895,9569081974,1,0
680,True,3.183,11.5,38,3573.9,62.2,119,3723.423495829879,9569081974,1,0
682,True,2.74,11.8,11,3578.9,62.8,119,3731.370576198034,9569081974,1,0
685,True,1.78,4.8,11,3582.8,63.2,119,3735.9439654822418,9569081974,1,0
686,True,1.65,0.0,11,3583.8,63.2,119,3736.9439654822418,9569081974,1,0
694,True,0.389,-3.4,0,3586.3,62.8,117,3739.2680172878913,9569081974,1,0
710,False,0.15,-4.4,0,3587.4,63.2,115,3740.2715715781246,9569081974,1,0
720,True,0.323,-2.9,17,3594.7,62.8,113,3747.117378276943,9569081974,1,0
723,True,1.477,-5.1,0,3606.6,62.2,113,3757.845627593652,9569081974,1,0
725,True,3.8,-3.8,58,3613.7,62.0,112,3764.3930924503916,9569081974,1,0
727,True,3.971,0.30000000000000004,47,3622.5,61.4,112,3773.2323491759025,9569081974,1,0
729,True,4.183,2.3,54,3631.7,61.4,112,3783.0331416838285,9569081974,1,0
736,True,4.711,3.9,50,3664.9,62.4,112,3820.5450989297,9569081974,1,0
740,True,4.764,4.2,51,3684.1,63.6,110,3842.5229512793717,9569081974,1,0
744,True,5.037,4.6,57,3705.2,64.6,112,3867.0524375963028,9569081974,1,0
745,True,5.66,2.3,57,3712.4,64.8,111,3874.7423912385384,9569081974,1,0
746,True,5.45,1.1,57,3716.8,64.8,111,3879.2455309125144,9569081974,1,0
752,True,5.729,2.0,51,3752.5,65.2,113,3916.917679854857,9569081974,1,0
753,True,5.886,3.6,42,3758.0,65.2,113,3923.0635236315766,9569081974,1,0
756,True,5.48,4.9,31,3771.6,66.0,113,3939.0306685381693,9569081974,1,0
759,True,4.317,4.3,37,3783.9,67.2,114,3953.1527334394063,9569081974,1,0
763,True,4.314,2.5,45,3801.8,67.6,114,3972.399703829212,9569081974,1,0
765,True,5.0,-1.2,55,3813.9,67.6,114,3984.269287841919,9569081974,1,0
767,True,5.425,-2.5,51,3827.3,67.4,114,3996.9807972158837,9569081974,1,0
770,True,7.28,-3.2,51,3850.3,66.4,110,4018.434986436121,9569081974,1,0
771,True,7.483,-3.8,53,3858.8,66.2,111,4026.274919588282,9569081974,1,0
773,True,8.217,-3.2,61,3876.6,65.6,111,4042.8598605975344,9569081974,1,0
774,True,8.329,-2.1,61,3885.6,65.2,110,4051.4697078304075,9569081974,1,0
777,True,8.85,-0.7000000000000001,52,3911.9,64.4,108,4077.5272459804523,9569081974,1,0
