time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,-2.0,0.0,585.0,122,0.0,7483845071,1,1
1,True,0.0,-1.2,2.2,585.0,122,2.158106184128524,7483845071,1,1
18,False,0.122,-1.0,2.2,584.9,123,2.158106184128524,7483845071,1,1
19,True,0.15,-1.1,4.9,584.9,123,4.810798108140192,7483845071,1,1
20,True,0.321,-0.9,8.3,584.9,123,8.16745198036768,7483845071,1,1
23,True,3.54,-1.2,19.9,584.8,125,19.545182367810305,7483845071,1,1
26,True,4.55,-1.4,35.6,584.6,128,34.88544301552113,7483845071,1,1
28,True,5.26,-1.3,46.2,584.4,129,45.25350349855858,7483845071,1,1
29,True,5.233,-1.3,51.3,584.3,129,50.24514430972502,7483845071,1,1
37,True,3.689,-1.0,79.4,584.0,128,77.89944399817786,7483845071,1,1
39,True,3.76,-0.6000000000000001,88.9,583.9,125,87.33177785702966,7483845071,1,1
40,True,3.873,0.4,93.9,583.9,125,92.35898243930056,7483845071,1,1
41,True,3.942,1.6,98.6,584.0,126,97.23321523097415,7483845071,1,1
42,True,4.78,2.1,103.3,584.1,126,102.20336474720965,7483845071,1,1
43,True,4.783,1.6,108.1,584.2,128,107.18439289840326,7483845071,1,1
44,True,4.84,1.6,113.1,584.3,129,112.37624929225782,7483845071,1,1
45,True,4.74,1.6,117.6,584.3,128,117.05502661105051,7483845071,1,1
46,True,4.7,1.7000000000000002,122.1,584.4,127,121.74856436817971,7483845071,1,1
47,True,4.64,2.3,126.5,584.5,126,126.44306446006362,7483845071,1,1
48,True,4.5,1.9,130.6,584.6,126,130.74517495980217,7483845071,1,1
49,True,4.36,1.9,134.9,584.7,125,135.25714450830833,7483845071,1,1
50,True,4.1,1.9,138.1,584.7,125,138.61199164424244,7483845071,1,1
51,True,4.08,1.8,142.5,584.8,126,143.2172259530567,7483845071,1,1
52,True,4.06,2.7,146.8,584.9,127,147.86675719132293,7483845071,1,1
53,True,4.18,2.9,151.5,585.0,127,152.99867066523126,7483845071,1,1
54,True,4.4,4.0,156.9,585.2,127,159.14008194641744,7483845071,1,1
58,True,5.04,5.8,176.7,585.8,125,183.23090934139074,7483845071,1,1
68,True,4.757,6.5,223.5,588.0,123,241.86826569013064,7483845071,1,1
70,True,4.692,8.1,233.0,589.7,120,254.613653216757,7483845071,1,1
71,True,4.654,17.1,237.2,590.4,119,263.1571650226429,7483845071,1,1
72,True,4.593,17.3,241.0,591.0,118,270.9282599723317,7483845071,1,1
73,True,4.2,17.1,244.5,591.6,118,278.02638483003994,7483845071,1,1
74,True,3.9,20.9,246.9,592.1,118,283.71331839996014,7483845071,1,1
75,True,3.3,17.8,249.5,592.5,118,289.1611436980109,7483845071,1,1
