time,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
0,False,0.0,0.0,0.0,510.4,113,0.0,7813122094,1,0
5,False,0.0,0.0,0.0,531.4,115,0.0,7813122094,1,0
9,True,1.13,0.0,10.2,510.4,112,10.2,7813122094,1,0
15,True,1.477,0.0,14.8,510.4,115,14.8,7813122094,1,0
19,True,0.607,0.0,16.2,510.4,118,16.2,7813122094,1,0
25,False,0.225,0.0,17.0,510.4,121,17.0,7813122094,1,0
27,True,0.17500000000000002,0.0,17.6,510.4,120,17.6,7813122094,1,0
31,True,0.342,0.0,19.1,510.4,123,19.1,7813122094,1,0
37,False,0.216,0.0,19.8,510.4,126,19.8,7813122094,1,0
44,False,0.18,0.0,21.4,510.4,129,21.4,7813122094,1,0
47,False,0.169,0.0,21.5,510.4,126,21.5,7813122094,1,0
49,False,0.054,0.0,21.7,510.4,124,21.7,7813122094,1,0
55,False,0.165,0.0,22.8,510.4,121,22.8,7813122094,1,0
62,False,0.1,0.0,23.0,510.4,118,23.0,7813122094,1,0
64,False,0.039,0.0,23.2,510.4,115,23.2,7813122094,1,0
67,False,0.036000000000000004,0.0,23.2,510.4,111,23.2,7813122094,1,0
69,False,0.012,0.0,23.2,510.4,108,23.2,7813122094,1,0
72,False,0.02,0.0,23.3,510.4,102,23.3,7813122094,1,0
73,False,0.017,0.0,23.3,510.4,99,23.3,7813122094,1,0
74,False,0.016,0.0,23.3,510.4,99,23.3,7813122094,1,0
77,False,0.044,0.0,23.5,510.4,96,23.5,7813122094,1,0
81,False,0.033,0.0,23.5,510.4,93,23.5,7813122094,1,0
82,False,0.014,0.0,23.5,510.4,92,23.5,7813122094,1,0
91,False,0.019,0.0,23.7,510.4,95,23.7,7813122094,1,0
99,False,0.03,0.0,24.1,510.4,95,24.1,7813122094,1,0
108,True,0.258,0.0,28.1,510.4,98,28.1,7813122094,1,0
110,False,0.392,0.0,28.4,510.4,98,28.4,7813122094,1,0
116,False,0.075,0.0,28.7,510.4,95,28.7,7813122094,1,0
128,False,0.115,0.0,30.4,510.4,96,30.4,7813122094,1,0
148,False,0.10200000000000001,0.0,32.0,510.4,96,32.0,7813122094,1,0
161,False,0.053,0.0,32.2,510.4,94,32.2,7813122094,1,0
164,False,0.016,0.0,32.2,510.4,97,32.2,7813122094,1,0
174,False,0.017,0.0,32.4,510.4,100,32.4,7813122094,1,0
177,False,0.019,0.0,32.5,510.4,102,32.5,7813122094,1,0
181,False,0.026000000000000002,0.0,32.6,510.4,105,32.6,7813122094,1,0
184,False,0.02,0.0,32.6,510.4,102,32.6,7813122094,1,0
193,False,0.01,0.0,32.7,510.4,99,32.7,7813122094,1,0
196,False,0.012,0.0,32.7,510.4,97,32.7,7813122094,1,0
213,False,0.018000000000000002,0.0,33.1,510.4,97,33.1,7813122094,1,0
229,False,0.025,0.0,33.6,510.4,97,33.6,7813122094,1,0
242,False,0.109,0.0,36.2,510.4,98,36.2,7813122094,1,0
249,False,0.152,0.0,36.6,510.4,98,36.6,7813122094,1,0
261,False,0.064,0.0,37.4,510.4,97,37.4,7813122094,1,0
262,False,0.068,0.0,37.5,510.4,97,37.5,7813122094,1,0
272,False,0.091,0.0,38.4,510.4,99,38.4,7813122094,1,0
279,False,0.11900000000000001,0.0,39.5,510.4,99,39.5,7813122094,1,0
283,False,0.123,0.0,39.8,510.4,102,39.8,7813122094,1,0
286,False,0.08,0.0,40.1,510.4,101,40.1,7813122094,1,0
289,False,0.055,0.0,40.1,510.4,98,40.1,7813122094,1,0
295,False,0.011,0.0,40.2,510.4,98,40.2,7813122094,1,0
301,False,0.021,0.0,40.4,510.4,99,40.4,7813122094,1,0
308,False,0.058,0.0,40.9,510.4,99,40.9,7813122094,1,0
316,True,0.272,0.0,44.4,510.4,99,44.4,7813122094,1,0
319,True,0.488,0.0,46.3,510.4,103,46.3,7813122094,1,0
320,True,0.48,0.0,46.7,510.4,100,46.7,7813122094,1,0
325,True,0.40700000000000003,0.0,48.7,510.4,98,48.7,7813122094,1,0
328,False,0.322,0.0,49.3,510.4,101,49.3,7813122094,1,0
333,False,0.08600000000000001,0.0,49.4,510.4,103,49.4,7813122094,1,0
335,False,0.036000000000000004,0.0,49.5,510.4,102,49.5,7813122094,1,0
339,False,0.032,0.0,49.6,510.4,105,49.6,7813122094,1,0
348,False,0.013000000000000001,0.0,49.7,510.4,104,49.7,7813122094,1,0
353,True,0.61,0.0,58.2,510.4,101,58.2,7813122094,1,0
355,True,1.877,0.0,62.8,510.4,98,62.8,7813122094,1,0
356,True,1.9340000000000002,-1.8,65.2,510.4,98,65.12027318868503,7813122094,1,0
357,True,1.963,-2.3,67.3,510.4,98,67.1221994566848,7813122094,1,0
361,True,3.11,-0.6000000000000001,80.7,510.0,98,80.43187188977944,7813122094,1,0
365,True,3.833,0.0,98.0,509.6,99,97.73187188977944,7813122094,1,0
371,True,4.936,1.6,130.1,510.0,100,131.06358993832603,7813122094,1,0
373,True,5.334,3.2,140.7,510.4,100,142.74368479264194,7813122094,1,0
376,True,5.166,4.4,155.9,511.2,100,160.25175128909524,7813122094,1,0
377,True,5.143,4.4,160.9,511.6,100,166.0132835975736,7813122094,1,0
379,True,5.093,3.5,171.2,511.8,99,177.49229612765856,7813122094,1,0
381,True,5.164,4.5,181.7,512.2,99,189.6578074200662,7813122094,1,0
385,True,5.053,5.1,201.6,512.8,98,213.22762773218602,7813122094,1,0
388,True,4.586,4.6,213.8,514.0,99,227.37032631455446,7813122094,1,0
393,True,4.071,4.7,234.1,515.0,99,251.00249054283086,7813122094,1,0
399,True,4.272,2.9,260.8,515.8,102,280.1516693141934,7813122094,1,0
400,True,4.546,1.9,266.0,515.8,102,285.6032959100864,7813122094,1,0
403,True,4.818,1.5,282.3,516.0,105,302.4897136370037,7813122094,1,0
404,True,5.452,2.8,288.1,516.0,105,308.79506773756077,7813122094,1,0
406,True,5.665,5.1,299.9,516.4,103,322.7938639727062,7813122094,1,0
410,True,5.845,6.4,323.1,517.4,104,351.8333767956527,7813122094,1,0
412,True,5.5120000000000005,8.5,333.0,518.6,106,365.34335871634374,7813122094,1,0
413,True,5.394,13.2,337.7,519.2,107,373.297386313591,7813122094,1,0
414,True,5.299,9.7,342.3,520.0,108,379.93216136973604,7813122094,1,0
416,True,4.807,8.3,352.0,521.2,110,393.06092132819566,7813122094,1,0
420,True,4.962,7.6,372.1,522.4,113,419.46295738847607,7813122094,1,0
422,True,4.853,7.4,381.1,522.8,113,431.1719445123822,7813122094,1,0
424,True,4.711,8.1,389.7,523.6,115,442.73561192385114,7813122094,1,0
426,True,4.342,8.6,398.1,524.6,113,454.27693775896915,7813122094,1,0
428,True,4.242,9.7,406.5,525.2,113,466.4125792064601,7813122094,1,0
430,True,3.982,9.8,413.5,525.6,113,476.55465547178534,7813122094,1,0
432,True,3.373,12.2,418.4,526.4,116,484.44642795775707,7813122094,1,0
433,True,2.7960000000000003,11.7,420.5,526.8,116,487.7630519725496,7813122094,1,0
434,True,2.738,7.3,423.0,527.2,117,491.0036208402791,7813122094,1,0
436,True,2.553,5.1,428.9,527.4,121,497.9885092502109,7813122094,1,0
439,True,2.928,4.0,437.6,527.8,124,507.8825118222689,7813122094,1,0
440,True,2.87,4.3,440.2,527.8,124,510.86566562864107,7813122094,1,0
447,True,3.126,3.4,462.6,528.8,124,535.7553154672205,7813122094,1,0
449,True,3.419,3.3,471.0,529.2,122,545.0486130281872,7813122094,1,0
456,True,4.376,3.1,502.0,530.0,123,579.168224484712,7813122094,1,0
457,True,4.507,3.7,507.0,530.0,123,584.7839118637677,7813122094,1,0
462,True,5.083,4.7,532.5,531.0,124,614.4690908927489,7813122094,1,0
466,True,4.979,5.3,551.8,532.2,126,637.4884586855172,7813122094,1,0
470,True,4.772,6.1,570.7,533.2,127,660.7784238035455,7813122094,1,0
471,True,4.72,6.7,575.4,533.6,127,666.7280502237552,7813122094,1,0
474,True,4.589,7.7,588.5,534.4,128,684.0081392024643,7813122094,1,0
478,True,4.274,7.4,605.3,535.8,128,705.9268040920986,7813122094,1,0
481,True,4.144,8.3,617.5,536.8,130,722.4030754202225,7813122094,1,0
482,True,4.074,7.1,621.1,537.0,131,727.0190393785145,7813122094,1,0
486,True,3.406,6.2,634.6,538.2,129,743.7470574335198,7813122094,1,0
488,True,3.505,6.1,642.2,538.4,126,753.108130855549,7813122094,1,0
492,True,4.143,3.9,659.4,539.4,126,772.5601070359431,7813122094,1,0
493,True,4.366,4.1,664.0,539.6,126,777.8117664521947,7813122094,1,0
499,True,4.526,4.2,691.1,540.4,128,808.862680939319,7813122094,1,0
500,True,4.466,5.0,695.3,540.6,128,813.8132989912015,7813122094,1,0
504,True,4.034,6.7,711.3,541.6,126,834.0294095699412,7813122094,1,0
507,True,4.164,6.0,724.4,542.6,126,850.1163507472355,7813122094,1,0
509,True,4.342,6.3,733.0,543.2,126,860.8140155168622,7813122094,1,0
512,True,4.198,5.2,745.4,543.6,126,875.5659510340139,7813122094,1,0
516,True,4.163,4.5,762.1,544.8,125,894.8819390557859,7813122094,1,0
522,True,4.445,4.7,789.8,546.0,127,927.2012976644424,7813122094,1,0
524,True,4.714,3.8,799.8,546.2,129,938.4757144220401,7813122094,1,0
525,True,4.734,4.0,804.8,546.4,130,944.155691146431,7813122094,1,0
528,True,4.997,6.4,819.8,547.0,130,962.8597674127002,7813122094,1,0
529,True,4.97,7.6,824.7,547.4,130,969.2919568794002,7813122094,1,0
531,True,4.945,9.7,834.4,548.4,130,983.2641436857184,7813122094,1,0
532,True,4.907,8.9,839.1,549.0,132,989.8091626195679,7813122094,1,0
534,True,4.804,8.1,848.7,549.8,130,1002.715283123013,7813122094,1,0
535,True,4.85,6.0,853.8,550.0,130,1008.986489840877,7813122094,1,0
537,True,4.954,4.9,863.9,550.8,131,1020.8605717930435,7813122094,1,0
538,True,4.985,4.9,869.0,550.8,131,1026.8563953530484,7813122094,1,0
542,True,5.134,4.3,889.5,551.8,128,1050.447201742174,7813122094,1,0
543,True,5.114,4.9,894.6,552.0,128,1056.4491865816817,7813122094,1,0
550,True,4.838,5.3,928.2,553.6,127,1096.4930692470914,7813122094,1,0
552,True,4.823,5.6,938.0,554.2,126,1108.355172862954,7813122094,1,0
553,True,4.829,7.0,942.9,554.6,126,1114.6284277477132,7813122094,1,0
557,True,4.804,7.4,962.0,555.8,125,1139.5576334248535,7813122094,1,0
560,True,4.8260000000000005,7.5,976.7,557.0,126,1158.8066676351787,7813122094,1,0
563,True,4.952,8.1,991.7,558.2,126,1178.9192388906388,7813122094,1,0
566,True,5.003,8.0,1006.7,559.4,126,1199.0149442140762,7813122094,1,0
568,True,4.96,7.8,1016.5,560.2,127,1212.012847546834,7813122094,1,0
569,True,4.95,8.2,1021.4,560.6,127,1218.620409791722,7813122094,1,0
573,True,4.748,7.1,1040.3,562.0,129,1242.932495448682,7813122094,1,0
576,True,4.517,7.1,1053.0,563.2,127,1259.256104564372,7813122094,1,0
581,True,4.404,7.2,1075.5,564.4,128,1288.2474251914493,7813122094,1,0
584,True,4.499,6.3,1089.0,565.4,127,1305.054407850003,7813122094,1,0
585,True,4.484,7.5,1093.4,565.8,128,1310.806204921281,7813122094,1,0
588,True,4.477,7.8,1106.8,566.6,128,1328.5429770649146,7813122094,1,0
592,True,4.31,7.3,1123.6,568.0,128,1350.2939930556583,7813122094,1,0
593,True,4.16,7.6,1127.6,568.4,128,1355.5458226411326,7813122094,1,0
596,True,4.168,6.7,1140.2,569.2,127,1371.4970422931297,7813122094,1,0
600,True,4.183,6.5,1156.9,570.4,127,1392.4724625218735,7813122094,1,0
602,True,4.172,7.5,1165.2,570.8,128,1403.3090545583093,7813122094,1,0
604,True,4.161,7.5,1173.5,571.4,128,1414.1803517937146,7813122094,1,0
607,True,4.116,7.7,1185.8,572.6,128,1430.377620322375,7813122094,1,0
610,True,4.332,6.7,1199.4,573.6,129,1447.5961331829767,7813122094,1,0
611,True,4.421,5.7,1204.4,573.8,129,1453.6611265379336,7813122094,1,0
615,True,4.91,5.9,1224.0,574.8,128,1477.624288653502,7813122094,1,0
618,True,4.871,6.4,1238.5,575.6,129,1495.7201651672344,7813122094,1,0
619,True,4.894,8.6,1243.6,576.2,129,1502.7205048546086,7813122094,1,0
622,True,4.814,9.6,1257.7,577.2,128,1522.9808471606173,7813122094,1,0
625,True,4.482,9.1,1270.4,578.8,129,1540.7923013745494,7813122094,1,0
628,True,4.06,10.4,1282.1,579.8,129,1558.1802015516648,7813122094,1,0
629,True,3.951,8.6,1285.4,580.0,128,1562.695243030616,7813122094,1,0
633,True,3.214,8.0,1298.1,581.4,128,1579.6706943549611,7813122094,1,0
637,True,3.3890000000000002,7.9,1312.5,582.4,129,1598.8269318051898,7813122094,1,0
640,True,3.776,7.1,1324.6,583.2,129,1614.3433482667217,7813122094,1,0
641,True,3.798,7.1,1328.5,583.4,129,1619.3655167008847,7813122094,1,0
645,True,3.784,7.7,1343.5,584.6,127,1639.2108447461426,7813122094,1,0
648,True,3.707,7.5,1354.5,585.4,124,1653.6244830400874,7813122094,1,0
649,True,3.702,7.1,1358.1,585.8,124,1658.2499235457578,7813122094,1,0
653,True,3.826,6.5,1373.6,586.8,123,1677.7155262181861,7813122094,1,0
656,True,3.959,5.9,1385.8,587.6,122,1692.6187250051212,7813122094,1,0
658,True,4.152,5.6,1394.3,588.0,123,1702.878965609266,7813122094,1,0
663,True,4.32,6.0,1416.1,589.2,126,1729.6296859954543,7813122094,1,0
664,True,4.327,6.3,1420.3,589.4,126,1734.8621592441773,7813122094,1,0
667,True,4.256,6.8,1432.7,590.4,128,1750.584558754628,7813122094,1,0
670,True,4.08,7.9,1444.8,591.2,128,1766.693787167666,7813122094,1,0
671,True,4.043,7.4,1448.6,591.4,129,1771.6537558400676,7813122094,1,0
675,True,3.7039999999999997,7.1,1463.3,592.8,130,1790.5183372902286,7813122094,1,0
676,True,3.7880000000000003,6.4,1467.6,593.0,130,1795.8955972503315,7813122094,1,0
679,True,4.124,5.2,1481.6,593.8,130,1812.578385200241,7813122094,1,0
684,True,4.631,5.3,1504.6,595.0,130,1840.039146628053,7813122094,1,0
685,True,4.58,5.7,1509.1,595.2,130,1845.4964936877427,7813122094,1,0
689,True,4.696,6.3,1528.1,596.2,132,1869.1377574850455,7813122094,1,0
693,True,4.478,6.1,1544.9,597.4,133,1889.8904676704508,7813122094,1,0
694,True,4.18,7.5,1549.0,597.8,134,1895.2428456240987,7813122094,1,0
697,True,4.155,5.3,1561.3,598.4,134,1909.907864504814,7813122094,1,0
701,True,3.914,4.2,1576.4,599.8,133,1927.200473589417,7813122094,1,0
707,True,4.064,4.2,1602.0,600.4,130,1956.4722693330316,7813122094,1,0
711,True,4.359,3.4,1620.0,600.8,129,1976.4543533273568,7813122094,1,0
714,True,4.43,4.6,1633.0,601.4,130,1991.563524145612,7813122094,1,0
716,True,4.268,5.6,1641.3,602.0,130,2001.613558264638,7813122094,1,0
720,True,4.227,6.1,1658.3,603.0,128,2022.5987884131976,7813122094,1,0
721,True,4.236,7.3,1662.5,603.2,127,2028.0348903592449,7813122094,1,0
725,True,4.086,8.0,1678.8,604.2,125,2049.8037233286536,7813122094,1,0
728,True,4.061,7.3,1690.9,605.6,128,2065.46963365532,7813122094,1,0
730,True,3.922,7.2,1698.4,606.2,129,2075.134946147931,7813122094,1,0
733,True,3.67,5.9,1709.3,606.6,130,2088.4526603567488,7813122094,1,0
736,True,3.718,6.7,1720.7,607.2,130,2102.865953393477,7813122094,1,0
738,True,3.8280000000000003,8.0,1728.4,607.8,131,2113.1581561649305,7813122094,1,0
741,True,3.906,9.4,1740.2,609.0,132,2129.947815768616,7813122094,1,0
744,True,3.902,9.9,1751.8,610.0,132,2146.775811109195,7813122094,1,0
747,True,3.8280000000000003,10.0,1763.2,611.2,133,2163.3908439896027,7813122094,1,0
750,True,3.875,11.0,1775.1,612.4,134,2181.584882199767,7813122094,1,0
753,True,3.863,11.1,1786.4,613.6,135,2198.921014011072,7813122094,1,0
756,True,3.698,11.3,1797.3,615.0,136,2215.8001613828787,7813122094,1,0
759,True,3.672,10.4,1808.4,616.2,136,2232.2963743714245,7813122094,1,0
762,True,3.7030000000000003,9.3,1819.5,617.4,135,2248.0218759844006,7813122094,1,0
764,True,3.68,9.2,1826.8,617.8,135,2258.2921269155026,7813122094,1,0
766,True,3.624,8.8,1833.8,618.4,134,2267.9947294949607,7813122094,1,0
770,True,3.48,10.3,1847.7,619.8,134,2288.5785084822433,7813122094,1,0
771,True,3.496,12.0,1851.2,620.2,133,2294.1788461663427,7813122094,1,0
773,True,3.441,12.5,1857.8,621.0,133,2304.9992777727707,7813122094,1,0
776,True,3.196,13.1,1867.2,622.4,134,2320.857774093545,7813122094,1,0
779,True,3.103,12.4,1876.5,623.4,135,2336.039392205867,7813122094,1,0
781,True,3.208,10.8,1883.3,624.4,134,2346.3307411956844,7813122094,1,0
782,True,3.265,11.2,1886.8,624.6,135,2351.7491742312036,7813122094,1,0
785,True,3.4130000000000003,12.1,1896.9,625.6,138,2368.015888947187,7813122094,1,0
786,True,3.268,11.2,1899.6,626.0,138,2372.187944795664,7813122094,1,0
789,True,2.7960000000000003,11.2,1906.4,627.2,137,2382.68801132467,7813122094,1,0
794,True,2.408,9.3,1918.9,628.2,136,2400.3982603537333,7813122094,1,0
795,True,2.582,6.9,1921.9,628.4,135,2404.2215874335725,7813122094,1,0
798,True,2.819,6.0,1931.8,629.0,132,2416.395106356485,7813122094,1,0
800,True,3.296,5.2,1938.3,629.4,132,2424.1309100038034,7813122094,1,0
803,True,3.416,4.6,1948.8,630.0,133,2436.3411478327143,7813122094,1,0
806,True,3.665,4.9,1960.3,630.4,133,2449.883880997976,7813122094,1,0
811,True,3.814,7.0,1979.3,631.2,131,2474.160436190482,7813122094,1,0
812,True,3.752,9.2,1982.8,631.6,130,2479.0964840793836,7813122094,1,0
815,True,3.502,13.6,1991.9,633.0,126,2494.777073266981,7813122094,1,0
817,True,2.868,13.9,1997.2,633.8,122,2504.054377094024,7813122094,1,0
818,True,2.855,10.8,2000.0,634.0,122,2508.2939911632707,7813122094,1,0
819,True,2.883,9.1,2003.0,634.4,120,2512.507498285239,7813122094,1,0
822,True,3.018,9.7,2012.3,635.2,118,2525.883781392172,7813122094,1,0
826,True,3.24,9.1,2025.7,636.4,118,2544.676969302935,7813122094,1,0
827,True,3.338,8.8,2029.0,636.8,117,2549.251053376108,7813122094,1,0
830,True,3.241,8.3,2038.2,637.6,115,2561.7232349035826,7813122094,1,0
832,True,3.004,7.5,2044.0,638.0,119,2569.320696727861,7813122094,1,0
834,True,2.966,6.5,2049.7,638.4,124,2576.464105529973,7813122094,1,0
835,True,2.93,5.9,2052.9,638.6,126,2580.384611094616,7813122094,1,0
837,True,3.17,5.6,2059.8,639.0,129,2588.724120774054,7813122094,1,0
839,True,3.58,3.9,2067.6,639.4,129,2597.5518275639347,7813122094,1,0
841,True,3.633,4.2,2074.7,639.8,129,2605.6678026937575,7813122094,1,0
847,True,3.9050000000000002,5.2,2098.9,640.4,129,2634.400414868641,7813122094,1,0
848,True,4.041,5.9,2102.9,640.8,129,2639.2952933990478,7813122094,1,0
852,True,3.844,8.8,2118.1,642.0,127,2660.3799700745903,7813122094,1,0
855,True,3.707,7.9,2128.9,643.0,127,2674.7509112536313,7813122094,1,0
856,True,3.733,7.3,2132.8,643.4,127,2679.818976883945,7813122094,1,0
860,True,3.912,7.5,2148.5,644.4,127,2700.3306591011615,7813122094,1,0
862,True,3.903,7.0,2156.2,644.8,127,2710.1794188888553,7813122094,1,0
864,True,3.86,7.8,2163.7,645.6,127,2720.1207796444187,7813122094,1,0
868,True,3.723,8.7,2178.6,646.6,126,2740.621385292826,7813122094,1,0
871,True,3.684,9.0,2189.5,647.6,126,2755.8767596908347,7813122094,1,0
872,True,3.675,10.1,2193.1,648.0,126,2761.1478873900865,7813122094,1,0
875,True,3.564,10.1,2203.5,649.2,126,2776.4297690881413,7813122094,1,0
877,True,3.458,9.9,2210.4,649.8,125,2786.4668803388627,7813122094,1,0
879,True,3.429,9.8,2217.1,650.4,125,2796.1397604263084,7813122094,1,0
882,True,3.4,9.0,2227.4,651.4,125,2810.5279103694593,7813122094,1,0
884,True,3.438,6.7,2234.3,652.2,125,2819.2602527449694,7813122094,1,0
886,True,3.489,3.9,2241.5,652.6,126,2827.4036531159963,7813122094,1,0
892,True,3.8040000000000003,3.6,2264.7,653.6,126,2853.38400856205,7813122094,1,0
898,True,3.959,3.8,2289.0,653.8,126,2880.7900821876865,7813122094,1,0
901,True,3.954,4.0,2300.3,654.6,126,2893.627762206516,7813122094,1,0
902,True,3.959,6.1,2304.3,655.0,126,2898.5577795195404,7813122094,1,0
907,True,4.038,7.3,2324.5,656.0,128,2924.731485415896,7813122094,1,0
908,True,4.035,7.6,2328.5,656.2,128,2929.9960109692265,7813122094,1,0
910,True,3.96,9.5,2336.0,657.2,128,2940.72076997306,7813122094,1,0
913,True,4.062,9.6,2348.8,658.4,128,2959.0862907523706,7813122094,1,0
916,True,4.73,9.0,2364.4,659.8,125,2980.830507974295,7813122094,1,0
919,True,4.953,9.4,2378.5,661.0,125,3000.8817264807253,7813122094,1,0
920,True,4.867,10.9,2382.9,661.4,127,3007.590993561995,7813122094,1,0
921,True,4.542,13.4,2387.1,662.0,129,3014.7838720276372,7813122094,1,0
923,True,4.449,14.9,2395.5,663.2,127,3030.231357305434,7813122094,1,0
924,True,4.17,13.7,2399.4,663.8,127,3037.0125989357784,7813122094,1,0
925,True,4.024,12.6,2403.0,664.4,127,3042.9418246855976,7813122094,1,0
928,True,3.85,12.5,2414.8,665.8,126,3062.287444830424,7813122094,1,0
930,True,3.89,11.4,2422.5,666.6,126,3074.304158325672,7813122094,1,0
931,True,3.923,11.0,2426.6,667.2,126,3080.567208295971,7813122094,1,0
933,True,3.942,11.4,2434.5,668.0,129,3092.8960442196667,7813122094,1,0
934,True,3.957,10.7,2438.5,668.4,130,3098.938254767535,7813122094,1,0
937,True,3.995,10.8,2450.5,669.8,132,3117.086548899439,7813122094,1,0
940,True,3.918,11.5,2462.0,671.0,133,3135.0637755069015,7813122094,1,0
941,True,3.941,11.9,2466.1,671.4,133,3141.606088092565,7813122094,1,0
942,True,3.876,11.7,2469.9,672.0,133,3147.6285346797163,7813122094,1,0
943,True,3.9130000000000003,10.1,2474.0,672.6,134,3153.6463843350966,7813122094,1,0
945,True,4.088,9.1,2482.4,673.4,134,3165.427188697068,7813122094,1,0
949,True,4.277,8.1,2499.7,674.8,136,3188.647156000078,7813122094,1,0
952,True,4.181,7.6,2511.7,675.8,136,3204.39412088125,7813122094,1,0
955,True,3.9530000000000003,7.9,2523.4,676.6,137,3219.993159972149,7813122094,1,0
956,True,3.949,8.7,2527.3,676.8,137,3225.3701413230765,7813122094,1,0
959,True,4.041,9.0,2540.0,678.0,137,3243.072164317848,7813122094,1,0
962,True,4.287,9.5,2553.0,679.4,138,3261.6852166539115,7813122094,1,0
963,True,4.224,9.6,2556.9,679.6,138,3267.2809612663577,7813122094,1,0
964,True,4.168,9.7,2560.8,680.0,139,3272.9055837480796,7813122094,1,0
965,True,4.163,10.6,2565.0,680.4,140,3279.199816923567,7813122094,1,0
968,True,4.17,11.6,2577.7,681.8,140,3299.1329607163493,7813122094,1,0
969,True,4.128,12.1,2581.5,682.2,141,3305.248324180514,7813122094,1,0
971,True,3.917,12.7,2588.5,683.2,141,3316.8542247644314,7813122094,1,0
974,True,3.636,13.3,2599.7,684.6,141,3335.9432688471297,7813122094,1,0
977,True,3.708,13.5,2610.7,686.0,141,3354.927195283331,7813122094,1,0
979,True,3.58,13.9,2617.6,687.0,140,3367.0092595285705,7813122094,1,0
981,True,3.467,13.1,2623.9,688.0,140,3377.64131680512,7813122094,1,0
982,True,3.268,12.6,2627.1,688.4,140,3382.918444632861,7813122094,1,0
985,True,3.447,12.4,2638.2,689.6,141,3401.0113930340485,7813122094,1,0
988,True,3.702,12.8,2649.3,691.0,141,3419.460733998255,7813122094,1,0
990,True,3.596,13.1,2656.2,692.0,141,3431.1124209912455,7813122094,1,0
