time,moving,velocity_smooth,grade_smooth,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
839,True,2.752,9.3,316.0,1887.7,384.03266043933195,7992703680,1,0
840,True,2.745,10.3,318.8,1887.8,388.17109729009115,7992703680,1,0
841,True,2.696,11.5,321.3,1888.3,392.0726276456911,7992703680,1,0
842,True,2.675,12.7,323.9,1888.5,396.38716866519405,7992703680,1,0
843,True,2.652,12.4,326.5,1888.9,400.6245316556737,7992703680,1,0
844,True,2.608,12.2,329.0,1889.1,404.67671827796516,7992703680,1,0
845,True,2.6029999999999998,13.3,331.8,1889.6,409.4574094382159,7992703680,1,0
846,True,2.64,12.4,334.5,1889.8,413.85774792832984,7992703680,1,0
847,True,2.621,12.4,337.0,1890.3,417.9321354191761,7992703680,1,0
848,True,2.604,12.3,339.5,1890.4,421.9843220414676,7992703680,1,0
849,True,2.651,12.1,342.3,1890.9,426.4996253142357,7992703680,1,0
850,True,2.659,11.9,345.1,1891.1,430.9699111762693,7992703680,1,0
851,True,2.643,12.9,347.7,1891.6,435.33062708493134,7992703680,1,0
852,True,2.683,12.1,350.4,1891.7,439.6846695265295,7992703680,1,0
853,True,2.7279999999999998,12.1,353.1,1892.3,444.01680617451143,7992703680,1,0
854,True,2.709,13.0,355.8,1892.4,448.54524192581437,7992703680,1,0
855,True,2.691,11.6,358.5,1892.9,452.8021070604063,7992703680,1,0
856,True,2.697,13.2,361.2,1893.1,457.3878064258399,7992703680,1,0
857,True,2.604,11.1,363.4,1893.5,460.77078318695055,7992703680,1,0
858,True,2.5060000000000002,13.7,365.6,1893.6,464.58835203677734,7992703680,1,0
859,True,2.423,10.6,367.9,1894.0,468.0351940138301,7992703680,1,0
860,True,2.339,12.0,370.2,1894.2,471.69968082505886,7992703680,1,0
861,True,2.342,12.4,372.9,1894.7,476.10001931517235,7992703680,1,0
862,True,2.444,11.9,375.7,1894.8,480.5703051772059,7992703680,1,0
863,True,2.549,11.3,378.4,1895.3,484.7423610256835,7992703680,1,0
864,True,2.6390000000000002,12.5,381.1,1895.5,489.195611711946,7992703680,1,0
865,True,2.6710000000000003,12.5,383.6,1895.9,493.2942600477141,7992703680,1,0
866,True,2.616,12.5,386.0,1896.1,497.205672038926,7992703680,1,0
867,True,2.627,12.9,388.8,1896.6,501.9018276328698,7992703680,1,0
868,True,2.635,11.6,391.6,1896.8,506.28685928342435,7992703680,1,0
869,True,2.656,11.8,394.4,1897.3,510.7352503138738,7992703680,1,0
870,True,2.735,12.0,397.3,1897.4,515.3882859728169,7992703680,1,0
871,True,2.763,10.7,399.8,1897.9,519.1439339257283,7992703680,1,0
872,True,2.725,14.4,402.4,1898.1,523.8400474383745,7992703680,1,0
873,False,2.17,11.6,402.4,1898.3,523.8400474383745,7992703680,1,0
874,True,2.25,14.2,405.7,1898.5,529.6966198486103,7992703680,1,0
875,True,2.217,12.4,408.3,1899.0,533.9357691243093,7992703680,1,0
876,True,2.235,13.0,411.0,1899.2,538.4908691313403,7992703680,1,0
877,True,2.2560000000000002,13.2,413.7,1899.7,543.0731364932637,7992703680,1,0
878,True,2.794,12.4,416.4,1899.9,547.4734749833772,7992703680,1,0
879,True,2.656,9.4,418.9,1900.4,551.0341303715286,7992703680,1,0
880,True,2.6310000000000002,7.4,421.5,1900.5,554.4214948085204,7992703680,1,0
881,True,2.665,2.8,424.3,1900.7,557.4656380908787,7992703680,1,0
882,True,2.696,1.9,427.2,1900.7,560.5119705711145,7992703680,1,0
883,True,2.641,0.0,429.6,1900.7,562.9119705711146,7992703680,1,0
884,True,2.614,0.8,432.0,1900.7,565.3467925786111,7992703680,1,0
885,True,2.573,0.8,434.4,1900.7,567.7799782910795,7992703680,1,0
886,True,2.473,1.0,436.7,1900.7,570.12317747625,7992703680,1,0
887,True,2.451,1.0,439.4,1900.8,572.8723883086368,7992703680,1,0
888,True,2.515,0.9,442.2,1900.8,575.7214439619403,7992703680,1,0
889,True,2.553,0.0,444.8,1900.8,578.3214439619403,7992703680,1,0
890,True,2.605,0.0,447.4,1900.8,580.9214439619402,7992703680,1,0
