time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,heartrate,altitude,grade_adjusted_distance,activity_id,label,mtb
479,135,True,2.014,23.6,59,870.2,142,167.2,1066.5167034767267,8739339537,1,1
480,130,True,2.03,19.6,59,872.3,142,167.6,1071.220736575545,8739339537,1,1
481,136,True,2.038,17.6,60,874.3,142,168.0,1075.3486106948437,8739339537,1,1
482,136,True,2.038,17.7,59,876.4,142,168.4,1079.748777281731,8739339537,1,1
483,122,True,2.044,17.8,59,878.5,141,168.8,1084.1489438686183,8739339537,1,1
484,111,True,2.044,15.9,58,880.5,141,169.0,1087.9882065016159,8739339537,1,1
485,116,True,2.038,15.9,58,882.4,141,169.4,1091.6619991776163,8739339537,1,1
486,120,True,2.022,17.8,59,884.4,141,169.8,1095.8526340222709,8739339537,1,1
487,118,True,2.012,15.7,59,886.5,141,170.0,1099.8551520125268,8739339537,1,1
488,114,True,2.012,15.6,61,888.5,141,170.4,1103.6402640585998,8739339537,1,1
489,119,True,2.022,15.5,60,890.6,141,170.8,1107.6146317069765,8739339537,1,1
490,117,True,2.034,15.5,60,892.6,141,171.0,1111.3997437530495,8739339537,1,1
491,115,True,2.046,15.6,61,894.7,141,171.4,1115.4022617433054,8739339537,1,1
492,113,True,2.06,17.6,61,896.8,141,171.6,1119.7691559162354,8739339537,1,1
493,113,True,2.06,15.7,60,898.8,141,172.0,1123.5810778117173,8739339537,1,1
494,122,True,2.05,15.7,59,900.8,142,172.4,1127.392999707199,8739339537,1,1
495,120,True,2.048,15.6,59,902.8,142,172.8,1131.2049216026805,8739339537,1,1
496,122,True,2.044,13.6,60,904.9,142,173.0,1134.834759590156,8739339537,1,1
497,124,True,2.044,11.6,61,907.0,141,173.2,1138.128688307205,8739339537,1,1
498,122,True,2.048,13.6,61,909.0,141,173.6,1141.5856768667054,8739339537,1,1
499,122,True,2.062,13.7,61,911.1,141,173.8,1145.2383264219022,8739339537,1,1
500,125,True,2.062,11.9,55,913.2,140,174.0,1148.5665205884857,8739339537,1,1
501,119,True,2.062,12.0,55,915.2,140,174.4,1151.7701684304845,8739339537,1,1
502,108,True,2.04,14.1,55,917.2,140,174.6,1155.316691570363,8739339537,1,1
503,99,True,2.02,16.9,58,919.2,140,174.8,1159.3509307340348,8739339537,1,1
504,91,True,2.0,17.1,57,921.1,140,175.0,1163.207684821313,8739339537,1,1
505,90,True,1.99,18.8,52,923.1,139,175.4,1167.6057486725197,8739339537,1,1
506,94,False,1.5819999999999999,20.6,54,923.1,139,175.8,1167.6057486725197,8739339537,1,1
507,93,True,1.568,20.6,56,925.0,138,176.0,1172.0491223875101,8739339537,1,1
508,104,True,1.554,22.4,57,926.9,138,176.4,1176.8057257660598,8739339537,1,1
509,107,True,1.544,19.0,57,928.8,137,176.8,1180.983886424706,8739339537,1,1
510,108,True,1.538,20.6,58,930.8,138,177.2,1185.6917931174557,8739339537,1,1
511,105,True,1.932,18.9,54,932.8,137,177.4,1190.0898569686624,8739339537,1,1
512,102,True,1.94,18.8,56,934.7,137,178.0,1194.24008919958,8739339537,1,1
513,98,True,1.944,17.1,56,936.6,137,178.4,1198.0968432868583,8739339537,1,1
514,100,True,1.9380000000000002,17.1,58,938.5,136,178.6,1201.9535973741365,8739339537,1,1
515,105,True,1.9500000000000002,13.7,58,940.5,136,179.0,1205.4241145103424,8739339537,1,1
516,97,True,1.952,13.5,57,942.5,135,179.2,1208.8571608996397,8739339537,1,1
517,102,True,1.9540000000000002,13.4,58,944.5,135,179.4,1212.0782925265669,8739339537,1,1
518,104,True,1.9580000000000002,13.5,58,946.4,134,179.6,1215.3396865963991,8739339537,1,1
