time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,heartrate,altitude,grade_adjusted_distance,activity_id,label,mtb
102,2,True,4.886,1.1,6,342.1,106,132.8,352.47607008110845,9639436682,1,0
103,3,True,4.91,2.2,56,346.6,104,132.8,357.25377304668655,9639436682,1,0
104,31,True,4.802,1.1,68,351.2,104,132.8,361.9540054227803,9639436682,1,0
105,43,True,4.674,1.0,68,355.8,105,133.0,366.6495718239386,9639436682,1,0
106,76,True,4.62,1.0,66,360.6,108,133.0,371.5454636260208,9639436682,1,0
107,50,True,4.718,0.0,69,365.7,108,133.0,376.6454636260208,9639436682,1,0
108,40,True,4.822,1.0,68,370.8,107,133.0,381.84198879245434,9639436682,1,0
109,6,True,4.924,1.0,68,375.8,105,133.0,386.9373496935968,9639436682,1,0
110,3,True,5.018,1.0,4,380.9,103,133.2,392.1353681580582,9639436682,1,0
111,3,True,5.06,1.0,4,385.9,102,133.2,397.231464691844,9639436682,1,0
112,4,True,5.04,0.0,27,390.9,103,133.2,402.231464691844,9639436682,1,0
113,1,True,5.026,0.0,6,395.9,103,133.2,407.231464691844,9639436682,1,0
114,0,True,5.032,0.0,6,401.0,104,133.2,412.331464691844,9639436682,1,0
115,0,True,5.026,0.0,6,406.0,105,133.2,417.331464691844,9639436682,1,0
116,0,True,5.038,0.0,6,411.0,106,133.2,422.331464691844,9639436682,1,0
117,0,True,5.04,0.0,6,416.1,108,133.2,427.43146469184404,9639436682,1,0
118,0,True,5.038,-1.0,23,421.1,109,133.2,432.35654599980484,9639436682,1,0
119,1,True,5.002,-1.0,18,426.0,109,133.2,437.1810734587841,9639436682,1,0
120,0,True,4.986,-1.1,18,430.9,109,133.0,442.0012330852325,9639436682,1,0
121,0,True,4.92,-1.1,18,435.6,110,133.0,446.62068015470555,9639436682,1,0
122,0,True,4.74,0.0,18,439.8,108,133.0,450.82068015470554,9639436682,1,0
123,0,True,4.5760000000000005,0.0,18,444.0,108,133.0,455.02068015470553,9639436682,1,0
124,0,True,4.316,-1.4,18,447.6,108,133.0,458.53936513459803,9639436682,1,0
125,0,True,4.042,-1.5,0,451.1,106,133.0,461.95261833394306,9639436682,1,0
126,0,True,3.734,-3.1,0,454.3,105,132.8,464.94138038730824,9639436682,1,0
127,0,True,3.5380000000000003,-3.3,0,457.5,104,132.8,467.9226306370876,9639436682,1,0
128,14,False,2.706,-1.6,25,457.5,103,132.8,467.9226306370876,9639436682,1,0
129,39,True,2.558,-1.6,38,460.4,96,132.6,470.7388226955061,9639436682,1,0
130,45,True,2.458,-1.6,42,463.4,94,132.6,473.65212482490455,9639436682,1,0
131,41,True,2.458,0.0,43,466.6,94,132.6,476.8521248249046,9639436682,1,0
132,51,True,2.464,1.5,44,469.8,94,132.6,480.16627222341015,9639436682,1,0
133,52,True,3.116,1.5,45,473.1,97,132.6,483.58249366709924,9639436682,1,0
134,54,True,3.228,1.5,47,476.5,99,132.8,487.1007217998356,9639436682,1,0
135,39,True,3.2800000000000002,3.1,46,479.8,99,132.8,490.7206882681569,9639436682,1,0
136,34,True,3.29,1.6,44,483.1,100,132.8,494.1430219303958,9639436682,1,0
137,37,True,3.274,1.7000000000000002,41,486.2,99,133.0,497.37057334962304,9639436682,1,0
138,27,True,3.2439999999999998,3.5,41,489.3,99,133.0,500.830117248582,9639436682,1,0
139,25,True,3.062,3.9,27,491.8,100,133.0,503.6563294283902,9639436682,1,0
140,29,True,2.906,5.1,29,494.4,99,133.2,506.7408099547782,9639436682,1,0
141,11,True,2.694,7.0,29,496.5,99,133.4,509.4301242026728,9639436682,1,0
142,0,True,2.516,5.9,29,498.8,97,133.6,512.2421279203161,9639436682,1,0
143,0,True,2.338,4.2,29,501.0,95,133.6,514.7601763585271,9639436682,1,0
144,0,True,2.274,4.2,29,503.2,94,133.8,517.2782247967382,9639436682,1,0
145,0,True,2.05,4.2,29,504.6,94,133.8,518.880619257418,9639436682,1,0
146,0,True,1.9,4.2,0,506.0,96,133.8,520.4830137180977,9639436682,1,0
147,0,False,1.454,4.2,0,506.0,98,133.8,520.4830137180977,9639436682,1,0
148,0,False,1.01,4.2,0,506.0,99,133.8,520.4830137180977,9639436682,1,0
149,0,False,0.5660000000000001,4.2,0,506.0,101,133.8,520.4830137180977,9639436682,1,0
150,0,False,0.28200000000000003,2.1,0,506.0,102,133.8,520.4830137180977,9639436682,1,0
151,0,False,0.0,0.0,0,506.0,102,133.8,520.4830137180977,9639436682,1,0
