time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
206,168.0,True,1.85,16.0,58,388.3,155.2,606.7959989709154,8733945617,1,1
207,161.0,True,1.862,16.0,62,390.2,155.6,610.4579517768277,8733945617,1,1
208,164.0,True,1.8719999999999999,16.1,65,392.0,155.8,613.9497038118731,8733945617,1,1
209,147.0,True,1.8719999999999999,16.1,62,393.9,156.0,617.6354420710876,8733945617,1,1
210,142.0,True,1.854,16.1,55,395.8,156.4,621.3453943503306,8733945617,1,1
211,146.0,True,1.866,16.3,63,397.7,156.8,625.0553466295735,8733945617,1,1
212,144.0,True,1.874,18.6,59,399.5,157.0,628.9406427485787,8733945617,1,1
213,145.0,True,1.858,19.1,59,401.3,157.4,632.9421959590863,8733945617,1,1
214,99.0,True,1.838,19.3,46,403.1,157.6,636.9742243295024,8733945617,1,1
215,65.0,True,1.778,21.3,32,404.7,158.0,640.8219915171086,8733945617,1,1
216,33.0,True,1.712,27.7,22,406.2,158.4,645.2611333182687,8733945617,1,1
217,6.0,True,1.518,31.9,22,407.1,158.6,648.2416910982242,8733945617,1,1
218,0.0,True,1.342,36.2,22,408.0,158.8,651.5137906709696,8733945617,1,1
219,0.0,True,1.168,30.0,0,408.9,159.0,654.3387183797896,8733945617,1,1
220,0.0,False,0.856,28.9,0,408.9,159.2,654.3387183797896,8733945617,1,1
221,0.0,False,0.544,27.7,0,408.9,159.6,654.3387183797896,8733945617,1,1
222,0.0,False,0.362,23.8,0,408.9,159.8,654.3387183797896,8733945617,1,1
223,6.0,False,0.182,20.0,0,408.9,160.0,654.3387183797896,8733945617,1,1
224,26.0,False,0.0,19.8,0,408.9,160.2,654.3387183797896,8733945617,1,1
225,66.0,False,0.0,16.5,36,408.9,160.4,654.3387183797896,8733945617,1,1
226,93.0,True,0.066,14.0,51,409.3,160.4,655.0388922535288,8733945617,1,1
227,106.0,True,0.384,8.0,52,410.9,160.4,657.1702995897418,8733945617,1,1
228,109.0,True,0.6900000000000001,4.0,52,412.4,160.6,658.8709941513364,8733945617,1,1
229,112.0,True,0.996,1.8,52,413.9,160.6,660.4387707081149,8733945617,1,1
230,136.0,True,1.328,1.8,58,415.6,160.6,662.2155841391307,8733945617,1,1
231,143.0,True,1.5939999999999999,1.8,57,417.2,160.6,663.8878791330277,8733945617,1,1
