time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
78,True,5.92,-0.4,111,275.8,32.0,59,274.4209383105686,8994483760,1,0
79,True,5.88,0.4,111,281.8,32.0,59,280.45358380929366,8994483760,1,0
80,True,5.92,0.4,111,287.8,32.0,59,286.486644293172,8994483760,1,0
81,True,5.96,0.4,111,293.8,32.1,59,292.51956528133775,8994483760,1,0
82,True,5.9,0.4,111,299.4,32.1,59,298.15055303700694,8994483760,1,0
83,True,5.94,0.0,111,305.5,32.1,59,304.25055303700697,8994483760,1,0
84,True,5.9,0.4,111,311.3,32.1,59,310.08348840115013,8994483760,1,0
85,True,5.76,0.5,111,316.6,32.1,59,315.4151031207488,8994483760,1,0
86,True,5.7,0.5,111,322.3,32.2,58,321.1505680034547,8994483760,1,0
87,True,5.58,0.5,111,327.3,32.2,58,326.1827556032702,8994483760,1,0
88,True,5.34,0.5,111,332.2,32.2,58,331.117640909779,8994483760,1,0
89,True,5.1,0.6000000000000001,111,336.8,32.2,58,335.7533026779465,8994483760,1,0
90,True,4.86,0.0,111,340.9,32.3,58,339.8533026779465,8994483760,1,0
91,True,4.5600000000000005,0.0,111,345.1,32.3,58,344.05330267794653,8994483760,1,0
92,True,4.38,-0.6000000000000001,111,349.2,32.2,59,348.1287183373596,8994483760,1,0
93,True,4.26,-0.6000000000000001,111,353.5,32.2,59,352.4035472527334,8994483760,1,0
94,True,4.26,0.0,111,358.1,32.2,60,357.0035472527334,8994483760,1,0
95,True,4.32,-0.5,111,362.5,32.2,60,361.382329682774,8994483760,1,0
96,True,4.44,-0.5,111,367.3,32.2,59,366.1606787888127,8994483760,1,0
97,True,4.66,-0.5,111,372.5,32.1,59,371.33903609594756,8994483760,1,0
98,True,4.98,-0.4,111,378.4,32.1,59,377.21585004829245,8994483760,1,0
99,True,5.28,-0.4,111,384.5,32.1,59,383.29267378446787,8994483760,1,0
100,True,5.62,-0.4,111,390.6,32.1,60,389.3697824747067,8994483760,1,0
101,True,5.86,-0.4,111,396.6,32.0,60,395.34780681733594,8994483760,1,0
102,True,6.06,-0.4,111,402.8,32.0,61,401.52563086100474,8994483760,1,0
103,True,6.22,0.0,111,409.5,32.0,61,408.22563086100473,8994483760,1,0
104,True,6.34,0.0,111,416.2,32.0,61,414.9256308610047,8994483760,1,0
105,True,6.46,0.0,111,422.9,32.0,61,421.6256308610047,8994483760,1,0
106,True,6.58,0.0,111,429.5,32.0,61,428.22563086100473,8994483760,1,0
107,True,6.66,-0.4,111,436.1,32.0,61,434.8026525120429,8994483760,1,0
108,True,6.64,-0.4,111,442.7,32.0,61,441.37967416308106,8994483760,1,0
109,True,6.6,-0.8,111,449.2,31.9,61,447.81628994915457,8994483760,1,0
110,True,6.58,-0.8,111,455.8,31.9,62,454.35233275809094,8994483760,1,0
111,True,6.6,-0.4,111,462.5,31.8,62,461.02926933321874,8994483760,1,0
112,True,6.62,-0.7000000000000001,111,469.2,31.8,63,467.66554958765215,8994483760,1,0
113,True,6.62,-0.4,111,475.8,31.8,63,474.2429999392307,8994483760,1,0
114,True,6.68,-0.4,111,482.6,31.7,64,481.0197669681298,8994483760,1,0
115,True,6.7,-0.4,111,489.3,31.7,64,487.69704522362605,8994483760,1,0
116,True,6.7,0.0,111,496.0,31.7,64,494.39704522362604,8994483760,1,0
117,True,6.72,0.0,111,502.8,31.7,64,501.19704522362605,8994483760,1,0
118,True,6.74,0.0,111,509.5,31.7,64,507.89704522362604,8994483760,1,0
119,True,6.74,0.0,111,516.3,31.7,65,514.697045223626,8994483760,1,0
120,True,6.74,0.0,111,523.0,31.7,67,521.397045223626,8994483760,1,0
121,True,6.74,0.0,111,529.7,31.7,68,528.0970452236261,8994483760,1,0
122,True,6.72,0.0,111,536.4,31.7,68,534.797045223626,8994483760,1,0
123,True,6.74,-0.4,111,543.2,31.7,68,541.5738986204475,8994483760,1,0
124,True,6.72,-0.4,111,549.9,31.7,68,548.2510073106862,8994483760,1,0
125,True,6.72,-0.4,111,556.6,31.6,68,554.9280302656825,8994483760,1,0
126,True,6.7,-0.4,111,563.2,31.6,68,561.5053110710323,8994483760,1,0
127,True,6.7,0.0,111,569.9,31.6,67,568.2053110710323,8994483760,1,0
128,True,6.66,0.0,111,576.5,31.6,67,574.8053110710323,8994483760,1,0
129,True,6.68,0.0,111,583.3,31.6,67,581.6053110710322,8994483760,1,0
130,True,6.7,-0.4,111,590.1,31.6,67,588.3820780999314,8994483760,1,0
131,True,6.74,-0.4,111,596.9,31.6,67,595.1585821140633,8994483760,1,0
132,True,6.68,-0.4,111,603.3,31.5,67,601.5363000787064,8994483760,1,0
133,True,6.66,-0.8,111,609.8,31.5,67,607.9737050292254,8994483760,1,0
134,True,6.62,-0.4,111,616.4,31.5,67,614.5514869932807,8994483760,1,0
135,True,6.68,-0.4,111,623.5,31.4,67,621.6278465133819,8994483760,1,0
136,True,6.72,-0.4,111,630.5,31.4,68,628.6047072832984,8994483760,1,0
137,True,6.8,0.0,111,637.3,31.4,68,635.4047072832983,8994483760,1,0
138,True,6.86,0.0,111,644.1,31.4,68,642.2047072832984,8994483760,1,0
139,True,6.86,0.0,111,650.7,31.4,69,648.8047072832984,8994483760,1,0
