time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,heartrate,altitude,grade_adjusted_distance,activity_id,label,mtb
0,72,False,0.0,0.0,47,0.0,97,-48.4,0.0,7379189301,0,0
1,90,False,0.0,0.0,53,0.0,97,-48.4,0.0,7379189301,0,0
3,110,True,0.43,0.0,61,1.3,94,-48.4,1.3,7379189301,0,0
4,114,True,1.4100000000000001,0.0,64,5.6,93,-48.4,5.6,7379189301,0,0
5,117,True,1.976,0.0,67,9.9,89,-48.4,9.9,7379189301,0,0
6,123,True,2.852,0.0,72,14.3,89,-48.4,14.3,7379189301,0,0
7,124,True,3.208,0.0,73,19.3,89,-48.4,19.3,7379189301,0,0
8,126,True,4.608,0.0,77,24.3,89,-48.4,24.3,7379189301,0,0
9,131,True,4.7780000000000005,0.0,79,29.5,91,-48.4,29.5,7379189301,0,0
10,135,True,4.976,0.0,81,34.8,92,-48.4,34.8,7379189301,0,0
11,115,True,5.208,0.0,57,40.3,94,-48.4,40.3,7379189301,0,0
12,92,True,5.264,0.0,32,45.6,94,-48.4,45.6,7379189301,0,0
13,70,True,5.266,0.0,7,50.7,94,-48.4,50.7,7379189301,0,0
14,0,True,5.16,0.0,0,55.3,94,-48.4,55.3,7379189301,0,0
15,0,True,4.928,0.0,0,59.4,94,-48.4,59.4,7379189301,0,0
16,0,True,4.548,0.0,0,63.0,94,-48.4,63.0,7379189301,0,0
17,0,True,4.076,0.0,0,65.9,93,-48.4,65.9,7379189301,0,0
18,0,True,3.564,0.0,0,68.5,93,-48.4,68.5,7379189301,0,0
19,0,True,3.086,0.0,0,70.8,91,-48.4,70.8,7379189301,0,0
20,17,True,2.778,0.0,31,73.3,89,-48.4,73.3,7379189301,0,0
21,55,True,2.586,0.0,40,76.0,88,-48.4,76.0,7379189301,0,0
22,76,True,2.58,0.0,46,78.8,86,-48.4,78.8,7379189301,0,0
23,86,True,2.68,0.0,41,81.9,85,-48.4,81.9,7379189301,0,0
24,91,True,2.832,0.0,28,84.9,85,-48.4,84.9,7379189301,0,0
25,95,True,2.894,0.0,14,87.8,86,-48.4,87.8,7379189301,0,0
26,0,True,2.938,0.0,0,90.7,86,-48.4,90.7,7379189301,0,0
27,0,True,2.88,0.0,0,93.3,88,-48.4,93.3,7379189301,0,0
28,2,True,2.79,0.0,13,95.8,90,-48.4,95.8,7379189301,0,0
29,5,True,2.668,0.0,16,98.3,91,-48.4,98.3,7379189301,0,0
30,8,True,2.526,0.0,18,100.4,92,-48.4,100.4,7379189301,0,0
31,13,True,2.364,0.0,21,102.5,92,-48.4,102.5,7379189301,0,0
32,15,True,2.224,0.0,19,104.4,92,-48.4,104.4,7379189301,0,0
33,17,True,1.998,0.0,18,105.8,93,-48.4,105.8,7379189301,0,0
34,19,True,1.8479999999999999,0.0,17,107.5,93,-48.4,107.5,7379189301,0,0
35,47,True,1.816,0.0,35,109.5,93,-48.4,109.5,7379189301,0,0
36,80,True,1.952,0.0,49,112.2,93,-48.4,112.2,7379189301,0,0
37,147,True,2.248,0.0,60,115.6,93,-48.4,115.6,7379189301,0,0
38,192,True,2.734,0.0,64,119.5,93,-48.4,119.5,7379189301,0,0
39,141,True,3.438,0.0,66,124.7,93,-48.4,124.7,7379189301,0,0
40,142,True,4.096,0.0,73,129.9,94,-48.4,129.9,7379189301,0,0
41,154,True,4.662,0.0,78,135.6,94,-48.4,135.6,7379189301,0,0
42,155,True,5.156,0.0,83,141.4,95,-48.4,141.4,7379189301,0,0
43,144,True,5.606,0.0,85,147.5,95,-48.4,147.5,7379189301,0,0
44,129,True,5.842,0.0,80,153.9,97,-48.4,153.9,7379189301,0,0
45,129,True,6.112,0.0,80,160.5,98,-48.4,160.5,7379189301,0,0
46,134,True,6.372,0.0,82,167.4,99,-48.4,167.4,7379189301,0,0
47,133,True,6.634,0.0,85,174.6,100,-48.4,174.6,7379189301,0,0
48,137,True,6.906,0.0,86,182.1,102,-48.4,182.1,7379189301,0,0
49,144,True,7.158,0.0,81,189.7,103,-48.4,189.7,7379189301,0,0
50,151,True,7.41,0.0,81,197.6,103,-48.4,197.6,7379189301,0,0
51,144,True,7.564,0.0,82,205.2,104,-48.4,205.2,7379189301,0,0
