time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,heartrate,altitude,grade_adjusted_distance,activity_id,label,mtb
52,134,True,7.79,0.0,83,213.5,106,-48.4,213.5,7379189301,0,0
53,129,True,7.964,0.0,84,221.9,106,-48.4,221.9,7379189301,0,0
54,129,True,8.016,0.0,84,229.8,107,-48.4,229.8,7379189301,0,0
55,130,True,7.802,0.0,84,236.6,108,-48.4,236.6,7379189301,0,0
56,139,True,8.416,0.0,85,247.3,109,-48.4,247.3,7379189301,0,0
57,152,True,8.442,0.6000000000000001,85,255.7,110,-48.4,255.76832844621845,7379189301,0,0
58,163,True,8.366,0.6000000000000001,86,263.7,111,-48.4,263.8400129500513,7379189301,0,0
59,154,True,8.314,0.6000000000000001,86,271.3,112,-48.2,271.5099812999471,7379189301,0,0
60,150,True,8.728,0.6000000000000001,86,280.2,114,-48.2,280.49236356951434,7379189301,0,0
61,156,True,8.162,0.0,85,288.1,115,-48.2,288.3923635695144,7379189301,0,0
62,175,True,8.056,0.0,86,296.0,117,-48.2,296.29236356951435,7379189301,0,0
63,187,True,8.044,0.0,86,303.9,118,-48.2,304.1923635695143,7379189301,0,0
64,185,True,8.094,0.6000000000000001,86,311.8,119,-48.2,312.16791527308453,7379189301,0,0
65,181,True,7.934,0.6000000000000001,85,319.9,119,-48.2,320.34709084407876,7379189301,0,0
66,171,True,7.918,0.6000000000000001,85,327.7,120,-48.0,328.22250486066633,7379189301,0,0
67,160,True,7.846,1.3,84,335.2,121,-48.0,335.93094678372944,7379189301,0,0
68,152,True,7.874,1.3,83,343.3,122,-48.0,344.25606406063764,7379189301,0,0
69,153,True,7.852,1.3,83,351.1,123,-47.8,352.2718894064193,7379189301,0,0
70,160,True,7.808,1.9,82,358.9,123,-47.6,360.47868206120205,7379189301,0,0
71,163,True,7.7620000000000005,1.3,81,366.5,124,-47.6,368.296582427772,7379189301,0,0
72,170,True,7.78,1.3,81,374.1,125,-47.4,376.11843897084736,7379189301,0,0
73,156,True,7.672,1.3,80,381.6,127,-47.4,383.8403732207106,7379189301,0,0
74,136,True,7.5760000000000005,1.4,79,389.0,127,-47.2,391.4633847688965,7379189301,0,0
75,135,True,7.476,2.1,78,396.3,127,-47.2,399.18516803813685,7379189301,0,0
76,135,True,7.392,1.4,78,403.5,128,-47.0,406.61568825539604,7379189301,0,0
77,136,True,7.238,2.1,77,410.3,129,-46.8,413.8189961404176,7379189301,0,0
78,128,True,7.094,1.4,76,417.1,130,-46.8,420.8336556445843,7379189301,0,0
79,102,True,7.108,1.4,75,424.5,130,-46.6,428.4640016662638,7379189301,0,0
80,86,True,7.122,2.2,73,431.9,131,-46.6,436.30989016480805,7379189301,0,0
81,68,True,7.108,1.6,69,439.0,131,-46.4,443.6852927826925,7379189301,0,0
82,59,True,6.936,2.9,53,445.0,131,-46.2,450.2209886947873,7379189301,0,0
83,52,True,6.462,2.1,35,449.4,132,-46.2,454.8682294474528,7379189301,0,0
84,45,True,5.684,2.0,17,452.9,132,-46.0,458.5592530298679,7379189301,0,0
85,0,True,5.314,1.8,1,458.5,131,-46.0,464.42467839160287,7379189301,0,0
86,3,True,5.166,0.9,13,464.9,131,-45.8,470.9311581287658,7379189301,0,0
87,22,True,5.254,2.0,33,471.3,131,-45.8,477.67054254963426,7379189301,0,0
88,37,True,5.136,1.1,41,475.1,131,-45.8,481.5588890439089,7379189301,0,0
89,73,True,5.174,1.3,47,478.8,130,-45.6,485.3644984765658,7379189301,0,0
90,80,True,4.818,2.6,49,482.6,130,-45.6,489.4636256226891,7379189301,0,0
91,89,True,4.35,1.2,52,486.6,129,-45.6,493.5673229393584,7379189301,0,0
92,100,True,3.846,1.1,55,490.5,129,-45.4,497.558742195837,7379189301,0,0
93,114,True,4.02,1.1,57,495.2,127,-45.4,502.3653691623327,7379189301,0,0
94,107,True,4.29,1.1,59,500.2,126,-45.4,507.4806665346632,7379189301,0,0
95,94,True,4.398,1.2,44,504.6,125,-45.4,511.98907705980116,7379189301,0,0
96,81,True,4.332,1.3,26,508.3,124,-45.2,515.7956368895974,7379189301,0,0
97,67,True,4.334,1.4,8,512.2,123,-45.2,519.8199140069227,7379189301,0,0
98,0,True,4.046,0.0,0,515.4,122,-45.2,523.0199140069226,7379189301,0,0
99,0,True,3.692,0.0,0,518.7,121,-45.2,526.3199140069227,7379189301,0,0
100,0,True,3.482,0.0,0,522.0,121,-45.2,529.6199140069226,7379189301,0,0
101,0,True,3.276,-1.6,0,524.6,121,-45.2,532.1457464075053,7379189301,0,0
102,0,True,2.998,-1.5,0,527.2,120,-45.2,534.6827645657189,7379189301,0,0
103,12,True,3.134,-1.3,49,531.1,118,-45.4,538.5023791487282,7379189301,0,0
104,58,True,3.404,-2.2,69,535.7,118,-45.4,542.8905470734029,7379189301,0,0
105,109,True,3.652,-1.0,73,540.2,116,-45.4,547.3207522388822,7379189301,0,0
106,117,True,4.08,0.0,73,545.0,113,-45.6,552.1207522388821,7379189301,0,0
107,127,True,4.67,0.0,74,550.5,111,-45.6,557.6207522388821,7379189301,0,0
108,132,True,4.964,1.0,72,555.9,110,-45.4,563.1191739036559,7379189301,0,0
109,116,True,4.996,1.0,66,560.7,108,-45.4,568.0079641032214,7379189301,0,0
110,84,True,5.118,1.0,43,565.8,106,-45.4,573.2059825676828,7379189301,0,0
111,64,True,5.212,1.0,64,571.1,105,-45.4,578.6070651228938,7379189301,0,0
112,74,True,5.108,1.0,68,576.0,105,-45.2,583.6012397260039,7379189301,0,0
113,90,True,4.9879999999999995,2.1,68,580.9,105,-45.2,588.7806996667987,7379189301,0,0
114,90,True,5.04,1.1,69,585.9,105,-45.2,593.8870715799537,7379189301,0,0
115,89,True,4.908,1.0,69,590.4,106,-45.0,598.4769701444059,7379189301,0,0
116,86,True,4.732,2.0,69,594.8,106,-45.0,603.1171140765848,7379189301,0,0
117,88,True,4.886,1.0,68,600.5,106,-45.0,608.9266641251006,7379189301,0,0
118,91,True,4.9879999999999995,1.0,67,605.8,106,-44.8,614.3285264509135,7379189301,0,0
119,92,True,4.932,2.1,67,610.5,105,-44.8,619.3072833714431,7379189301,0,0
120,87,True,4.9,1.1,66,614.9,104,-44.8,623.8039299679004,7379189301,0,0
121,80,True,4.91,1.1,65,619.3,103,-44.6,628.3021463193622,7379189301,0,0
122,77,True,4.742,2.2,63,624.2,102,-44.6,633.5169639155679,7379189301,0,0
123,61,True,4.58,1.2,43,628.7,102,-44.6,638.126913605547,7379189301,0,0
124,44,True,4.42,2.6,23,632.7,102,-44.4,642.436281050164,7379189301,0,0
125,0,True,4.306,2.8,3,636.4,100,-44.4,646.4521814360437,7379189301,0,0
126,0,True,4.098,1.5,0,639.8,100,-44.2,649.968917010418,7379189301,0,0
127,0,True,3.802,3.2,0,643.2,100,-44.2,653.7146914107527,7379189301,0,0
128,0,True,3.4859999999999998,1.6,3,646.1,100,-44.2,656.7309141767522,7379189301,0,0
129,5,True,3.274,3.4,17,649.0,97,-44.0,659.9535359643893,7379189301,0,0
130,23,True,3.114,3.5,39,652.0,95,-44.0,663.2942586873155,7379189301,0,0
131,40,True,3.016,1.8,44,654.9,92,-43.8,666.3307692821587,7379189301,0,0
132,37,True,2.872,5.8,34,657.6,92,-43.8,669.6318171246095,7379189301,0,0
133,33,True,2.7800000000000002,4.2,21,660.0,91,-43.8,672.3787790572034,7379189301,0,0
134,28,True,2.536,3.3,8,661.7,89,-43.8,674.2603880308172,7379189301,0,0
606,0,False,0.005,3.2,0,662.2,83,-43.4,674.8127513172179,7379189301,0,0
607,7,True,0.006,3.0,14,664.4,84,-43.4,677.2201805045006,7379189301,0,0
608,25,True,0.011,0.0,30,667.0,86,-43.4,679.8201805045006,7379189301,0,0
609,84,True,0.017,0.0,51,669.9,87,-43.4,682.7201805045006,7379189301,0,0
610,131,True,0.024,0.0,57,673.4,88,-43.4,686.2201805045006,7379189301,0,0
611,142,True,0.024,1.4,66,677.0,89,-43.4,689.9286726090235,7379189301,0,0
612,140,True,3.294,1.3,70,680.8,91,-43.4,693.8381124342196,7379189301,0,0
613,139,True,3.52,1.3,72,684.6,92,-43.2,697.7427961835266,7379189301,0,0
614,117,True,3.724,1.2,66,688.6,94,-43.2,701.8473873549493,7379189301,0,0
615,108,True,3.86,1.2,66,692.7,95,-43.2,706.0501213716086,7379189301,0,0
616,106,True,4.01,1.2,67,697.1,98,-43.2,710.5558507701438,7379189301,0,0
617,116,True,4.112,1.1,69,701.4,100,-43.0,714.9534031011931,7379189301,0,0
618,117,True,4.252,2.2,71,705.9,101,-43.0,719.7311060667712,7379189301,0,0
619,115,True,4.436,1.1,73,710.7,102,-43.0,724.6332231034,7379189301,0,0
620,110,True,4.556,1.0,74,715.4,102,-42.8,729.4301014354547,7379189301,0,0
621,95,True,4.62,2.1,76,720.2,104,-42.8,734.5059988137378,7379189301,0,0
622,79,True,4.734,1.0,76,725.1,105,-42.8,739.5077978062759,7379189301,0,0
623,74,True,4.792,1.1,76,729.9,106,-42.6,744.4099148429046,7379189301,0,0
624,70,True,4.758,2.2,64,734.5,106,-42.6,749.2915313056808,7379189301,0,0
625,66,True,4.712,1.1,46,739.0,107,-42.6,753.8927958672548,7379189301,0,0
626,38,True,4.676,1.1,40,743.5,108,-42.4,758.4965635023523,7379189301,0,0
627,39,True,4.578,1.1,57,748.0,110,-42.4,763.0962049415687,7379189301,0,0
628,88,True,4.486,1.1,71,752.3,110,-42.4,767.4884154335614,7379189301,0,0
629,113,True,4.548,1.1,73,757.3,112,-42.4,772.5939467479158,7379189301,0,0
630,124,True,4.63,1.0,76,762.2,113,-42.2,777.5918362958748,7379189301,0,0
631,124,True,4.672,2.0,77,766.9,115,-42.2,782.5559343725856,7379189301,0,0
632,124,True,4.782,1.0,78,771.9,119,-42.2,787.6550481204619,7379189301,0,0
633,124,True,4.9,2.0,79,776.8,121,-42.0,792.8186474565265,7379189301,0,0
634,127,True,4.918,2.0,80,781.9,121,-42.0,798.1910405010251,7379189301,0,0
635,132,True,4.976,1.0,81,787.0,122,-41.8,803.3868299985772,7379189301,0,0
636,131,True,5.036,2.0,81,792.1,123,-41.8,808.7572769589568,7379189301,0,0
637,123,True,5.072,1.0,81,797.2,126,-41.8,813.9538021253904,7379189301,0,0
638,114,True,5.088,1.0,82,802.2,127,-41.6,819.0455914767427,7379189301,0,0
639,113,True,5.084,1.9,83,807.3,127,-41.6,824.4029348040539,7379189301,0,0
640,114,True,5.158,0.9,84,812.8,128,-41.6,830.0005646790098,7379189301,0,0
641,112,True,5.214,1.9,84,818.2,128,-41.4,835.663688672002,7379189301,0,0
642,110,True,5.234,1.9,84,823.4,129,-41.4,841.1260779469075,7379189301,0,0
643,123,True,5.308,0.9,85,828.8,130,-41.2,846.6200702539778,7379189301,0,0
644,122,True,5.308,1.8,85,833.8,131,-41.2,851.860349753904,7379189301,0,0
645,117,True,5.384,0.9,79,839.7,131,-41.2,857.8617196902228,7379189301,0,0
646,121,True,5.39,1.8,76,845.1,132,-41.0,863.509053446855,7379189301,0,0
647,122,True,5.428,1.8,76,850.5,132,-41.0,869.1597855026037,7379189301,0,0
648,121,True,5.476,0.9,78,856.2,132,-40.8,874.9522376632949,7379189301,0,0
649,123,True,5.616,1.7000000000000002,79,861.9,132,-40.8,880.9046185732714,7379189301,0,0
650,123,True,5.586,0.9,80,867.7,132,-40.8,886.7963538512129,7379189301,0,0
651,119,True,5.658,0.9,81,873.4,132,-40.6,892.5859452929714,7379189301,0,0
652,117,True,5.734,1.7000000000000002,82,879.2,133,-40.6,898.6376292833568,7379189301,0,0
653,119,True,5.7780000000000005,0.8,82,885.0,133,-40.6,904.5265529644432,7379189301,0,0
654,117,True,5.8,0.8,82,890.9,133,-40.4,910.5164523406548,7379189301,0,0
655,113,True,5.852,1.7000000000000002,82,896.9,134,-40.4,916.7682777260122,7379189301,0,0
656,106,True,5.89,0.8,82,902.8,134,-40.4,922.7581771022238,7379189301,0,0
657,105,True,5.902,0.8,83,908.7,134,-40.2,928.7469755887658,7379189301,0,0
658,125,True,5.902,1.7000000000000002,84,914.5,134,-40.2,934.7872023661372,7379189301,0,0
659,130,True,5.964,0.8,84,920.7,135,-40.2,941.0799448570779,7379189301,0,0
660,120,True,5.944,1.7000000000000002,84,926.7,135,-40.0,947.3284553164276,7379189301,0,0
661,112,True,5.956,1.7000000000000002,83,932.6,135,-40.0,953.4810776047249,7379189301,0,0
662,107,True,5.94,1.7000000000000002,73,938.4,135,-39.8,959.5378862499641,7379189301,0,0
663,105,True,5.908,1.8,54,944.1,135,-39.8,965.4989607708537,7379189301,0,0
664,103,True,5.784,1.8,34,949.6,135,-39.6,971.25433601282,7379189301,0,0
665,54,True,5.676,1.8,43,955.0,134,-39.6,976.9085281549418,7379189301,0,0
666,65,True,5.592,0.9,76,960.6,134,-39.4,982.6022960521258,7379189301,0,0
667,97,True,5.538,1.8,78,966.1,134,-39.4,988.3491325754766,7379189301,0,0
668,112,True,5.518,0.9,79,971.7,134,-39.4,994.0382617222349,7379189301,0,0
669,117,True,5.61,0.9,80,977.7,134,-39.2,1000.1314001768915,7379189301,0,0
670,120,True,5.694,0.9,81,983.5,133,-39.2,1006.0203238579779,7379189301,0,0
671,121,True,5.756,0.8,82,989.4,133,-39.2,1012.0107807059798,7379189301,0,0
672,122,True,5.818,0.8,83,995.2,133,-39.2,1017.8980741334278,7379189301,0,0
673,113,True,5.91,0.8,84,1001.2,133,-39.0,1023.9889350915547,7379189301,0,0
674,95,True,5.924,0.9,60,1007.3,133,-39.0,1030.184813652033,7379189301,0,0
675,77,True,5.914,0.0,35,1013.1,133,-39.0,1035.9848136520332,7379189301,0,0
676,59,True,5.78,1.0,10,1018.3,134,-39.0,1041.2919981896257,7379189301,0,0
677,0,True,5.48,1.2,0,1022.6,133,-39.0,1045.7025235583837,7379189301,0,0
678,0,True,5.05,1.5,0,1026.5,133,-38.8,1049.7316248538186,7379189301,0,0
679,0,True,4.456,3.5,0,1029.6,131,-38.8,1053.1874041410558,7379189301,0,0
680,0,True,3.7880000000000003,1.8,0,1032.0,131,-38.8,1055.7035394930065,7379189301,0,0
681,0,True,3.146,2.2,0,1034.0,129,-38.6,1057.825981433344,7379189301,0,0
682,0,True,2.634,1.9,0,1035.8,128,-38.6,1059.714301582781,7379189301,0,0
683,0,True,2.17,2.0,0,1037.3,125,-38.6,1061.294417184104,7379189301,0,0
684,0,True,1.8519999999999999,0.0,0,1038.8,124,-38.6,1062.794417184104,7379189301,0,0
685,0,True,1.6600000000000001,0.0,0,1040.3,123,-38.6,1064.294417184104,7379189301,0,0
686,0,True,1.62,0.0,0,1042.1,122,-38.6,1066.094417184104,7379189301,0,0
687,0,True,1.6880000000000002,0.0,0,1044.2,120,-38.6,1068.1944171841042,7379189301,0,0
688,0,True,1.892,0.0,0,1046.8,118,-38.6,1070.794417184104,7379189301,0,0
689,24,True,2.204,1.7000000000000002,19,1049.9,117,-38.6,1074.030756024783,7379189301,0,0
690,44,True,2.52,1.6,38,1052.9,115,-38.6,1077.141968445,7379189301,0,0
691,88,True,2.7279999999999998,1.5,48,1055.7,114,-38.4,1080.0418474186922,7379189301,0,0
692,95,True,3.076,1.5,44,1059.6,114,-38.4,1084.0697164512403,7379189301,0,0
693,102,True,3.24,0.0,40,1063.0,112,-38.4,1087.4697164512404,7379189301,0,0
694,110,True,3.36,0.0,37,1066.7,112,-38.4,1091.1697164512404,7379189301,0,0
695,90,True,3.666,-1.2,41,1071.2,112,-38.4,1095.5878667851396,7379189301,0,0
696,90,True,3.988,-1.1,62,1075.7,111,-38.4,1100.0118578716024,7379189301,0,0
697,106,True,4.116,-1.1,65,1080.2,111,-38.6,1104.4390551584088,7379189301,0,0
698,105,True,4.378,-1.0,68,1084.9,109,-38.6,1109.065132960257,7379189301,0,0
699,108,True,4.67,-1.0,71,1090.0,109,-38.6,1114.091268084749,7379189301,0,0
700,109,True,4.736,-0.9,75,1094.9,109,-38.6,1118.9254534912905,7379189301,0,0
701,104,True,4.986,-0.9,77,1100.6,108,-38.8,1124.552457276405,7379189301,0,0
702,117,True,5.246,-0.9,80,1106.4,108,-38.8,1130.2843415541624,7379189301,0,0
703,139,True,5.47,-0.8,83,1112.2,107,-38.8,1136.0179867207694,7379189301,0,0
704,140,True,5.68,-0.8,87,1118.4,106,-38.8,1142.1506374524813,7379189301,0,0
705,130,True,5.922,-0.8,88,1124.5,106,-39.0,1148.186052218995,7379189301,0,0
706,110,True,6.09,-1.6,89,1131.1,106,-39.0,1154.6060992877947,7379189301,0,0
707,96,True,6.178,-0.8,65,1137.3,106,-39.0,1160.7433122522507,7379189301,0,0
708,81,True,6.334,-0.8,40,1143.9,106,-39.2,1167.2756224708494,7379189301,0,0
709,51,True,6.366,-0.8,30,1150.3,106,-39.2,1173.6112183384557,7379189301,0,0
710,58,True,6.432,-0.8,60,1156.7,107,-39.2,1179.947219356753,7379189301,0,0
711,70,True,6.434,-0.8,88,1163.2,108,-39.2,1186.3834360596659,7379189301,0,0
712,103,True,6.526,-1.5,81,1169.9,109,-39.4,1192.9109560211016,7379189301,0,0
713,132,True,6.538,-1.5,80,1176.6,109,-39.4,1199.4362699941478,7379189301,0,0
714,133,True,6.568,-1.5,82,1183.1,109,-39.6,1205.7731230623558,7379189301,0,0
715,131,True,6.538,-2.2,84,1189.4,110,-39.6,1211.7896429981183,7379189301,0,0
716,131,True,6.686,-1.4,85,1196.7,110,-39.8,1218.9189512167595,7379189301,0,0
717,131,True,6.776,-2.1,86,1203.8,110,-40.0,1225.727103049089,7379189301,0,0
718,129,True,6.95,-2.1,87,1211.3,110,-40.0,1232.9116811218723,7379189301,0,0
719,128,True,7.094,-1.3,90,1218.6,110,-40.2,1240.0593701723428,7379189301,0,0
720,128,True,7.198,-1.9,92,1225.4,110,-40.4,1246.6029493516394,7379189301,0,0
721,126,True,7.6,-1.9,95,1234.7,111,-40.4,1255.5698153333128,7379189301,0,0
722,123,True,7.702,-1.8,96,1242.3,112,-40.6,1262.9133166219053,7379189301,0,0
723,109,True,7.866,-2.5,91,1250.7,113,-40.8,1270.8805689392027,7379189301,0,0
724,85,True,8.054,-2.4,67,1258.8,113,-41.0,1278.5663869218072,7379189301,0,0
725,61,True,8.374,-2.5,43,1267.2,113,-41.2,1286.5220301559941,7379189301,0,0
726,38,True,8.068,-2.5,19,1275.0,116,-41.4,1293.9140906697667,7379189301,0,0
727,0,True,8.042,-1.9,0,1282.5,116,-41.6,1301.136537696389,7379189301,0,0
728,0,True,8.05,-1.9,0,1290.9,117,-41.8,1309.224218543207,7379189301,0,0
729,0,True,7.952,-1.9,0,1298.6,117,-41.8,1316.637925986123,7379189301,0,0
730,0,True,7.818,-2.0,0,1306.3,117,-42.0,1324.0304831411224,7379189301,0,0
731,0,True,7.758,-2.1,0,1313.8,115,-42.2,1331.2065220247139,7379189301,0,0
732,0,True,7.638,-2.3,0,1320.7,114,-42.4,1337.7765581545596,7379189301,0,0
733,0,True,7.158,-2.6,0,1326.7,113,-42.4,1343.441430427048,7379189301,0,0
734,0,True,6.716,-2.0,0,1332.2,112,-42.6,1348.7300699636792,7379189301,0,0
735,0,True,6.056,-2.2,0,1336.6,111,-42.8,1352.9382950074669,7379189301,0,0
736,0,True,5.454,-1.1,0,1341.1,110,-42.8,1357.358267656166,7379189301,0,0
737,10,True,4.916,-1.1,24,1345.3,109,-42.8,1361.4846773157396,7379189301,0,0
738,45,True,4.596,-1.1,46,1349.7,109,-42.8,1365.8103574891702,7379189301,0,0
739,65,True,4.432,-2.1,49,1354.3,108,-43.0,1370.2217327144126,7379189301,0,0
740,70,True,4.546,-2.0,32,1359.3,106,-43.0,1375.026823576365,7379189301,0,0
741,74,True,4.74,-1.9,16,1364.8,105,-43.2,1380.3213669290892,7379189301,0,0
742,0,True,4.916,-1.9,0,1369.9,103,-43.2,1385.2308525834337,7379189301,0,0
743,0,True,5.088,-1.9,0,1375.1,101,-43.4,1390.2352274388086,7379189301,0,0
744,0,True,5.158,-1.9,0,1380.1,100,-43.4,1395.0497583450292,7379189301,0,0
745,0,True,5.236,-1.0,0,1385.5,100,-43.6,1400.3741542165064,7379189301,0,0
746,0,True,5.202,-0.9,0,1390.8,100,-43.6,1405.6044131483475,7379189301,0,0
747,16,True,5.23,-0.9,58,1396.0,101,-43.6,1410.7378201102065,7379189301,0,0
748,28,True,5.362,-0.9,52,1401.9,101,-43.6,1416.5647580978004,7379189301,0,0
749,6,True,5.522,-0.9,36,1407.7,102,-43.8,1422.295739258744,7379189301,0,0
750,20,True,5.59,-1.7000000000000002,59,1413.5,101,-43.8,1427.9106902279593,7379189301,0,0
751,35,True,5.716,-0.9,69,1419.3,101,-43.8,1433.6383846031547,7379189301,0,0
752,67,True,5.802,-1.7000000000000002,67,1425.0,100,-44.0,1439.1624789171428,7379189301,0,0
753,45,True,5.666,-1.7000000000000002,57,1430.3,99,-44.0,1444.2978293125373,7379189301,0,0
754,24,True,5.864,-1.6,44,1437.1,99,-44.2,1450.9000294106593,7379189301,0,0
755,34,True,5.864,-1.6,51,1442.8,99,-44.2,1456.444615515532,7379189301,0,0
756,65,True,6.036,-0.8,74,1449.5,99,-44.4,1463.0727636461133,7379189301,0,0
757,86,True,6.148,-0.8,75,1455.8,99,-44.4,1469.3081506729573,7379189301,0,0
758,97,True,6.346,-0.8,76,1462.0,99,-44.4,1475.4437503639876,7379189301,0,0
759,97,True,6.2620000000000005,-0.8,76,1468.4,99,-44.4,1481.7781117880832,7379189301,0,0
760,96,True,6.416,-0.8,76,1474.9,98,-44.6,1488.2135211503492,7379189301,0,0
761,95,True,6.376,-0.8,77,1481.4,98,-44.6,1494.650533007635,7379189301,0,0
762,95,True,6.474,-0.8,79,1488.1,96,-44.6,1501.2860119566312,7379189301,0,0
763,94,True,6.574,-0.8,80,1494.9,93,-44.6,1508.020116668869,7379189301,0,0
764,85,True,6.628,-0.8,80,1501.5,92,-44.8,1514.554117718988,7379189301,0,0
765,77,True,6.6,-0.8,64,1507.9,89,-44.8,1520.8917086468143,7379189301,0,0
766,68,True,6.53,-0.8,48,1514.1,87,-44.8,1527.0312498581459,7379189301,0,0
767,60,True,6.63,-0.8,32,1521.3,86,-44.8,1534.1610396519504,7379189301,0,0
768,43,True,6.606,-0.8,27,1527.9,86,-45.0,1540.6954553120977,7379189301,0,0
769,27,True,6.554,-1.6,28,1534.3,87,-45.0,1546.9068425303578,7379189301,0,0
770,26,True,6.474,-0.8,31,1540.2,89,-45.0,1552.746714254417,7379189301,0,0
771,25,True,6.306,-0.8,34,1545.6,89,-45.2,1558.0920287718463,7379189301,0,0
772,29,True,6.464,-0.8,39,1553.6,89,-45.2,1566.014017431629,7379189301,0,0
773,42,True,6.44,-0.7000000000000001,72,1560.1,90,-45.2,1572.453344332458,7379189301,0,0
774,42,True,6.458,-0.8,58,1566.6,91,-45.2,1578.889158905774,7379189301,0,0
775,39,True,6.5,-1.5,36,1572.7,92,-45.4,1584.8321248408124,7379189301,0,0
776,37,True,6.836,-2.3,14,1579.8,95,-45.4,1591.6036367561055,7379189301,0,0
777,0,True,6.5760000000000005,-1.5,0,1586.5,97,-45.6,1598.1365281762583,7379189301,0,0
778,0,True,6.614,-2.3,0,1593.2,98,-45.8,1604.5099185393408,7379189301,0,0
779,0,True,6.606,-2.3,0,1599.6,98,-45.8,1610.6138166038304,7379189301,0,0
780,0,True,6.514,-1.5,0,1605.3,98,-46.0,1616.1642539641764,7379189301,0,0
781,0,True,6.656,-2.2,0,1613.1,96,-46.2,1623.6067286173713,7379189301,0,0
